Model,Version,Split,Trials,Sensitivity,Specificity,Precision,Accuracy,F1 Score,TP,FP,TN,FN
GPT-4o-mini,v1,prompt-set,1,1,0.966,0.400,0.966,0.571,4,6,169,0
GPT-4o-mini,v2,prompt-set,1,1,0.971,0.444,0.972,0.615,4,5,170,0
GPT-4o-mini,v2,test-set,1,0.875,0.951,0.292,0.950,0.438,7,17,332,1
GPT-4.1-mini,v1,prompt-set,1,1,0.971,0.444,0.972,0.615,4,5,170,0
GPT-4.1-mini,v2,prompt-set,1,1,0.971,0.444,0.972,0.615,4,5,170,0
GPT-4.1-mini,v2,test-set,1,0.875,0.971,0.412,0.969,0.560,7,10,339,1
GPT-5-mini,v1,prompt-set,1,1,0.989,0.667,0.989,0.800,4,2,173,0
GPT-5-mini,v2,prompt-set,1,1,0.994,0.800,0.994,0.889,4,1,174,0
GPT-5-mini,v2,test-set,10,"0.875
(0.875-0.875)","0.991
(0.989-0.994)","0.700
(0.636-0.778)","0.989
(0.986-0.992)","0.778
(0.737-0.824)","7
(7-7)","3
(2-4)","346
(345-347)","1
(1-1)"
o4-mini,v1,prompt-set,1,0.750,0.989,0.600,0.983,0.667,3,2,173,1
o4-mini,v2,prompt-set,1,1,0.994,0.800,0.994,0.889,4,1,174,0
o4-mini,v2,test-set,10,"0.875
(0.875-0.875)","0.990
(0.986-0.991)","0.668
(0.583-0.700)","0.988
(0.983-0.989)","0.758
(0.700-0.778)","7
(7-7)","3.5
(3-5)","345.5
(344-346)","1
(1-1)"
Ensemble,v1,prompt-set,1,1,0.960,0.364,0.961,0.533,4,7,168,0
Ensemble,v2,prompt-set,1,1,0.966,0.400,0.966,0.571,4,6,169,0
Ensemble,v2,test-set,10,"0.875
(0.875-0.875)","0.989
(0.948-0.991)","0.636
(0.280-0.700)","0.986
(0.947-0.989)","0.737
(0.424-0.778)","7
(7-7)","4
(3-18)","345
(331-346)","1
(1-1)"
