custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,Q6,in_actual
PXD010372,,o4-mini-2025-04-16,Yes | justification: Title and description explicitly focus on high-grade serous ovarian cancer patients,No | evidence: Comparisons between platinum‐resistant vs sensitive HGSOC patients only | justification: No healthy control samples and study is prognostic rather than diagnostic biomarker discovery,Not applicable | evidence: No healthy controls described | justification: Sample composition does not include healthy patients,"Yes | justification: Quantitative proteomics of FFPE tumors, phospho‐ and interaction proteomics, and immunopeptidomics are performed","Yes | evidence: ""In vitro, CT45 regulated PP4 activity"" | justification: Includes cell‐based in vitro functional proteomics assays","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While this is a clinical ovarian cancer proteomics study, it lacks healthy controls or diagnostic biomarker focus and includes non‐clinical in vitro data, thus failing criterion 2",No,False
PXD036969,,o4-mini-2025-04-16,"No | justification: The study focuses on Long COVID Syndrome in plasma samples, not ovarian cancer.","No | evidence: Study groups are healthy vaccinated individuals and Long COVID patients, no ovarian cancer controls or biomarker discovery. | justification: Not related to ovarian cancer diagnostics or controls.",Not applicable | evidence: No healthy controls for ovarian cancer are described. | justification: Criterion 2 does not apply as the dataset is not about ovarian cancer.,Yes | justification: Label-free proteome profiling of plasma was performed.,"No | evidence: All samples are human plasma from clinical patient groups. | justification: No xenograft, cell line, animal model, or ex vivo study components.",meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset meets the proteomics criterion but does not involve ovarian cancer or appropriate controls/biomarker discovery for ovarian cancer.,No,False
PXD051500,,o4-mini-2025-04-16,"Yes | justification: The study analyzes exosomes from patients with epithelial ovarian cancer (EOC), specifically platinum-sensitive and -resistant cases.","No | evidence: Dataset includes only platinum-sensitive and platinum-resistant ovarian cancer patients. | justification: No healthy control samples are included and the focus is on resistance biomarker discovery, not diagnostic biomarker discovery of ovarian cancer vs healthy.",Not applicable,Yes | justification: The study uses 4D data-independent acquisition (DIA) proteomic sequencing on exosome samples.,"No | evidence: Exosomes were obtained from patient-derived ovarian cancer tissues. | justification: All samples are clinical patient-derived exosomes; there are no cell lines, animal models, or ex vivo non-clinical specimens.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–focused and uses proteomics, it lacks healthy controls or diagnostic biomarker discovery; thus it fails the healthy control/diagnostic criterion.",No,False
PXD019223,,o4-mini-2025-04-16,Yes | justification: The description focuses on LKB1’s role in epithelial ovarian cancer spheroid viability and metastasis.,"No | evidence: No mention of healthy patient controls or diagnostic biomarker discovery in the description. | justification: The study aims to identify kinase substrates, not to compare against healthy controls or develop biomarkers.",Not applicable | evidence: N/A | justification: No healthy controls are reported.,Yes | justification: Uses multiplexed inhibitor bead (MIB) profiling and TripleTOF5600 mass spectrometry for substrate identification.,"Yes | evidence: Focus on ovarian cancer spheroids (3D cell culture models). | justification: Spheroids are ex vivo/cell line models, not human clinical samples.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it studies ovarian cancer proteomics, it lacks healthy patient controls or biomarker discovery and uses non-clinical cell models.",No,False
PXD040430,,o4-mini-2025-04-16,Yes | justification: The study focuses on PARP inhibitor resistance in BRCA1 exon 11 mutant high grade serous ovarian cancer.,No | evidence: Description lacks any mention of healthy patient samples or diagnostic biomarker discovery for ovarian cancer. | justification: No healthy controls or diagnostic biomarker discovery are reported.,Not applicable | evidence: No healthy patient controls described. | justification: Criterion not relevant when no healthy controls are present.,"No | justification: The dataset describes mechanistic cell‐based assays and protein expression analysis, not large‐scale proteomic profiling.",Yes | evidence: Uses isogenic cell lines with different BRCA1 mutations. | justification: Study is based on in vitro cell line models rather than clinical patient specimens.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: Although the study concerns ovarian cancer, it lacks healthy controls/biomarker discovery, does not perform proteomics, and uses exclusively non-clinical cell models.",No,False
PXD005420,,o4-mini-2025-04-16,Yes | justification: Study performed on serous ovarian cancer tissue biopsies.,Yes | evidence: Biopsies include healthy regions alongside tumor and borderline tissues. | justification: Healthy tissue regions serve as controls for comparative analysis.,Unclear | evidence: No explicit numbers or percentages of healthy vs tumor samples provided. | justification: Sample composition proportions are not specified.,Yes | justification: Study uses MALDI MSI and top-down tissue microproteomics to profile proteins.,"Yes | evidence: Co-expression experiments performed in HEK 293 and HeLa cell lines with transfection. | justification: Includes in vitro cell line data, which is non-clinical.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Although it meets ovarian cancer, healthy control, and proteomics criteria, the inclusion of in vitro cell line experiments violates the non-clinical exclusion criterion.",No,False
PXD001849,,o4-mini-2025-04-16,Unclear | justification: Title and description refer broadly to gynecologic cancers without specifying ovarian cancer,"Yes | evidence: ""to identify biomarker candidate proteins, for gynecological cancer"" | justification: Dataset involves biomarker discovery for gynecologic cancer",Not applicable | evidence: No explicit sample composition provided | justification: Healthy control presence and proportion not specified,Yes | justification: Uses iTRAQ shotgun proteomics,"No | evidence: Study performed on human gynecological cancer tissues | justification: No cell lines, animal models, or ex vivo systems mentioned",meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Biomarker discovery proteomics from gynecologic tissues but ovarian specificity is not confirmed,No,False
PXD005554,,o4-mini-2025-04-16,Yes | justification: Dataset includes ECM-enriched samples from disease-free omentum and omental metastases derived from high-grade serous ovarian cancer patients.,"No | evidence: No healthy volunteer samples or biomarker discovery context described; all controls are from cancer patients (adjacent or disease-free tissue). | justification: Controls are adjacent normal mammary tissue or disease-free omentum from cancer patients, not healthy subjects; no biomarker discovery aim stated.",Not applicable | evidence: No healthy controls from non-cancer subjects reported. | justification: No explicit sample composition for healthy controls provided.,Yes | justification: LC-MS/MS analysis of peptides from ECM-enriched human tissue samples indicates proteomic profiling.,"No | evidence: All samples are human clinical tissues; no cell lines, xenografts, animal or ex vivo models used. | justification: Source material derives directly from patient tissues.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset includes ovarian cancer and uses proteomics, it lacks healthy subject controls or a biomarker discovery component, failing criterion 2.",No,False
PXD033569,,o4-mini-2025-04-16,Yes | justification: Study investigates La protein function in A2780 ovarian cancer cells.,"No | evidence: Control group consists of A2780 cells with non-targeting lentivirus, not healthy patient samples. | justification: No healthy patient controls or diagnostic biomarker discovery in clinical samples.",Not applicable | evidence: No healthy patient controls present | justification: Q2 is answered No.,Yes | justification: Proteomic analysis was performed using TMT labeling and mass spectrometry.,"Yes | evidence: Use of A2780 ovarian cancer cell line | justification: Dataset is based on in vitro cell line experiments, not clinical patient samples.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it focuses on ovarian cancer proteomics, it lacks healthy patient controls/biomarker discovery and uses non-clinical cell line models.",No,False
PXD055375,,o4-mini-2025-04-16,Yes | justification: Title and description specifically reference ovarian cancer cell types.,"No | evidence: Description mentions only cell line profiling, no healthy patient controls or biomarker discovery. | justification: Study assesses drug targets in cancer cell lines, not clinical biomarker discovery.",Not applicable | justification: No healthy controls present.,"Yes | justification: Uses proteome integral solubility alteration (PISA), a proteomics-based method.","Yes | evidence: Uses ovarian cancer and leukemia cell types (cell lines). | justification: Cell line–based study, non-clinical.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although proteomics–based and ovarian cancer–related, lacks healthy patient controls or diagnostic biomarker focus and is non-clinical.",No,False
PXD000214,,o4-mini-2025-04-16,"No | justification: The dataset involves CHO cell lines, not ovarian cancer disease samples.",No | evidence: Dataset uses CHO cell conditioned media | justification: There are no healthy patient samples nor biomarker discovery for ovarian cancer.,Not applicable | justification: No healthy controls present.,Yes | justification: The study uses label-free shotgun proteomics with LC-MS analysis.,Yes | evidence: Use of CHO cell lines (Chinese hamster ovary cells) | justification: Dataset is based on non-clinical in vitro cell line samples.,meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is proteomics but it does not involve ovarian cancer or healthy patient controls and is non-clinical.,No,False
PXD005436,,o4-mini-2025-04-16,"No | justification: The study focuses on poor ovarian response during IVF, not on ovarian cancer.",No | evidence: The study investigates biomarkers for poor ovarian response in IVF. | justification: It does not involve healthy controls for ovarian cancer nor biomarker discovery for ovarian cancer diagnosis.,Not applicable | justification: Criterion not met (no healthy controls for ovarian cancer).,Yes | justification: The dataset uses quantitative proteomic analyses with high-resolution orbitrap and QQQ mass spectrometry to identify and quantify proteins.,"No | evidence: Follicular fluid samples from human IVF patients | justification: Samples are clinical human specimens, no xenografts, cell lines, or animal models.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although it is a human proteomics study, it does not concern ovarian cancer or include healthy controls for ovarian cancer biomarker discovery.",No,False
PXD010166,,o4-mini-2025-04-16,Yes | justification: The study focuses on epithelial ovarian cancer (EOC) patient tissues and the role of Septin-2 in EOC tumorigenesis.,"No | evidence: Comparison is made to benign disease tissue, not healthy controls; no diagnostic biomarker discovery is described. | justification: Benign disease samples are not equivalent to healthy controls, and the study aims at mechanistic insights rather than biomarker identification.",Not applicable,Yes | justification: The study uses comparative label-free proteomic analysis of Septin-2 knockout ovarian cancer cell lines.,Yes | evidence: Proteomic analysis performed on stable Septin-2 knockout ovarian cancer cell lines. | justification: Use of cell lines (non-clinical models) excludes the dataset under non-clinical criteria.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset addresses ovarian cancer and includes proteomic analysis, it lacks healthy patient controls and includes non-clinical cell line experiments.",No,False
PXD045417,,o4-mini-2025-04-16,Yes | justification: Study focuses on high-grade serous ovarian cancer (HGSOC) patient tumors,"No | evidence: No healthy control samples reported; study identifies prognostic signatures rather than diagnostic biomarkers | justification: Dataset does not include healthy controls and is centered on prognostic, not diagnostic, marker discovery",Not applicable | evidence: N/A | justification: No healthy controls present,Yes | justification: Deep proteogenomic profiling includes proteomic analysis of tumor and stromal cell populations,"No | evidence: All samples are from clinical patient tumors (bulk and LMD-enriched) | justification: No cell lines, animal models, xenografts, or ex vivo studies were used","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset meets ovarian cancer and proteomics criteria, it lacks healthy controls or diagnostic biomarker discovery",No,False
PXD001084,,o4-mini-2025-04-16,"Yes | justification: The study focuses on serous epithelial ovarian tumors, comparing benign (serous cystadenoma) and malignant (serous adenocarcinoma) ovarian tissue and serum.",Yes | evidence: Control group of six patients with benign serous cystadenoma and analysis to identify proteins/pathways distinguishing benign vs malignant tumors. | justification: The dataset performs differential proteomic profiling to discover biomarkers that differentiate malignant ovarian cancer from benign tumors.,"Not applicable | evidence: Controls are patients with benign ovarian cystadenoma, not healthy individuals. | justification: No healthy subjects are included, only benign tumor controls.",Yes | justification: Uses label-free liquid chromatography tandem mass spectrometry (LC-MSe) for protein identification in serum and tissue samples.,"No | evidence: All samples are clinical human serum and laser-microdissected tissue specimens from ovarian tumor patients. | justification: No cell lines, animal models, xenografts, or ex vivo non-clinical samples are used.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: This is a clinical proteomics study of ovarian tumors comparing benign and malignant cases for biomarker discovery using human serum and tissue samples.,Yes,False
PXD015782,,o4-mini-2025-04-16,Yes | justification: Focuses on high‐grade serous ovarian carcinoma (HGSOC) patient tumors,"No | evidence: Description makes no mention of healthy patient controls or diagnostic biomarker discovery | justification: Study maps kinome in HGSOC tumors and PDX models for therapeutic target identification, not diagnostic biomarker discovery",Not applicable | evidence: No healthy controls | justification: No sample composition for healthy patients provided,Yes | justification: Uses multiplexed inhibitor beads and mass spectrometry (MIB-MS) for kinome profiling,Yes | evidence: Includes HGSOC patient-derived xenograft models and established HGSOC cell lines | justification: Use of PDX and cell line models classifies as non-clinical samples,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer and proteomic, it lacks healthy controls or diagnostic biomarker discovery and includes non-clinical models",No,False
PXD061015,,o4-mini-2025-04-16,Yes | justification: Dataset focuses on high-grade serous ovarian carcinoma and ovarian cancer stem cells.,No | evidence: Description does not mention healthy patient controls or diagnostic biomarker discovery; it focuses on cancer stem cell characterization. | justification: No healthy controls or diagnostic biomarker aim described.,Not applicable | evidence: No healthy controls present. | justification: Dataset does not include any healthy control samples.,Yes | justification: Uses quantitative mass spectrometry for proteome and phosphoproteome analysis.,Yes | evidence: Study uses ex vivo 3D spheres and adherent primary cultures (cell-based models). | justification: Ex vivo primary cultures and cell-based assays are non-clinical samples.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer proteomics but lacks healthy controls or biomarker discovery focus and uses non-clinical ex vivo samples.,No,False
PXD025864,,o4-mini-2025-04-16,Yes | justification: Title and description state comparison of human ovarian cancer patients versus controls.,Yes | evidence: Description: compared human ovarian cancer patients with healthy individuals. | justification: Dataset includes healthy patients as controls.,Unclear | evidence: No explicit sample numbers or proportions provided. | justification: Cannot determine if healthy controls comprise ≥20% of samples.,Yes | justification: Title indicates LC-MS/MS proteomics analysis.,"No | evidence: Description refers exclusively to human patients. | justification: No xenografts, cell lines, animal or ex vivo models mentioned.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset studies human ovarian cancer vs healthy controls using LC-MS/MS proteomics.,Yes,True
PXD039281,,o4-mini-2025-04-16,Yes | justification: The study includes ovarian cancer alongside other cancer types.,"No | evidence: Description makes no mention of healthy controls or diagnostic biomarker discovery. | justification: Focus is on protein interaction and chemoresistance, not on control inclusion or biomarker discovery.",Not applicable | evidence: No healthy controls described. | justification: No explicit sample composition provided for controls.,"Unclear | justification: No explicit mention of proteomic methods (e.g., mass spectrometry) or proteome-wide analysis in the description.","Yes | evidence: Study focuses on protein interactions mediating chemoresistance, likely in cell lines or in vitro models. | justification: No indication of clinical patient samples; work appears mechanistic in non-clinical systems.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: Although the dataset includes ovarian cancer, it lacks healthy controls, does not focus on diagnostic biomarker discovery, and appears non-clinical with unclear proteomic data.",No,False
PXD040742,,o4-mini-2025-04-16,Yes | justification: The study focuses on high grade serous ovarian cancers (HGSOCs).,"No | evidence: Analysis of 242 refractory and sensitive HGSOC tumors without healthy patient controls; biomarker signature predicts chemo-refractoriness, not disease diagnosis. | justification: No healthy controls and biomarker discovery is prognostic/predictive rather than diagnostic of ovarian cancer presence.",Not applicable | evidence: No healthy control samples reported | justification: No explicit sample composition including healthy controls.,Yes | justification: Proteogenomic analysis characterizes protein expression and identifies a 64-protein signature.,Yes | evidence: Use of patient-derived xenograft (PDX) models | justification: Includes non-clinical PDX models alongside human tumor samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Though it is an ovarian cancer proteomics study, it lacks healthy controls or diagnostic biomarker discovery and includes non-clinical PDX models, so it fails key inclusion criteria.",No,False
PXD033169,,o4-mini-2025-04-16,Yes | justification: Title and description specify study of high-grade serous ovarian cancer (HGSOC).,Yes | evidence: Study uses 26 HGSOC cases and 24 healthy controls; goal is diagnostic biomarker discovery. | justification: Includes healthy controls and focuses on biomarker discovery for ovarian cancer.,Yes | evidence: 24 healthy controls out of 50 total samples (48%). | justification: Healthy controls represent >20% of the sample set.,"Yes | justification: Performed liquid chromatography data-independent acquisition tandem mass spectrometry, identifying 1,847 proteins.","No | evidence: Proteomic data derived exclusively from human serum samples. | justification: No xenografts, cell lines, animal or ex vivo/in vitro proteomic samples included.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset studies ovarian cancer via human serum proteomics, includes ≥20% healthy controls, and targets diagnostic biomarker discovery.",Yes,True
PXD064540,,o4-mini-2025-04-16,"No | justification: Study investigates cyclophosphamide-induced premature ovarian insufficiency in mice, not ovarian cancer","No | evidence: Description does not mention healthy human controls or diagnostic biomarker discovery for ovarian cancer | justification: Focus is on treated and untreated mouse models, not on human controls or biomarker discovery",Not applicable | evidence: No human control group described | justification: No explicit sample composition involving healthy patients,"Yes | justification: Mass spectrometry was used to investigate molecular responses, indicating proteomics data",Yes | evidence: Mouse model used for cyclophosphamide-induced POI | justification: Dataset is based on a non-clinical animal model,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although proteomics data are present, the study is non-clinical and not about ovarian cancer or human healthy controls",No,False
