Model,Version,Trial,Target_Disease,File,true_positive,false_positive,false_negative,true_negative,total_files_evaluated,sensitivity,specificity,precision,accuracy,f1_score
GPT-4.1-mini,v1,,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4.1-mini-arrayexpress-v1.jsonl,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
GPT-4.1-mini,v1,,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4.1-mini-arrayexpress-v1.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
GPT-4.1-mini,v1,,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4.1-mini-arrayexpress-v1.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-4.1-mini,v1,,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4.1-mini-arrayexpress-v1.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-4o-mini,v1,,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4o-mini-arrayexpress-v1.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
GPT-4o-mini,v1,,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4o-mini-arrayexpress-v1.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
GPT-4o-mini,v1,,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4o-mini-arrayexpress-v1.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-4o-mini,v1,,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-4o-mini-arrayexpress-v1.jsonl,9,1,1,45,56,0.9,0.978,0.9,0.964,0.9
GPT-5-mini,v1,seed43,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-43.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed43,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-43.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed43,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-43.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed43,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-43.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-5-mini,v1,seed44,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-44.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed44,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-44.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
GPT-5-mini,v1,seed44,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-44.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
