model,input_config,trials,accuracy_max,accuracy_median,accuracy_min,delta_accuracy_vs_full,delta_f1_score_vs_full,delta_precision_vs_full,delta_sensitivity_vs_full,delta_specificity_vs_full,f1_score_max,f1_score_median,f1_score_min,false_negative_max,false_negative_median,false_negative_min,false_positive_max,false_positive_median,false_positive_min,precision_max,precision_median,precision_min,sensitivity_max,sensitivity_median,sensitivity_min,specificity_max,specificity_median,specificity_min,total_files_evaluated_max,total_files_evaluated_median,total_files_evaluated_min,true_negative_max,true_negative_median,true_negative_min,true_positive_max,true_positive_median,true_positive_min
GPT-4.1-mini,title_description,1,0.975,0.975,0.975,0.006,-0.252,-0.012,-0.625,0.02,0.308,0.308,0.308,6,6,6,3,3,3,0.4,0.4,0.4,0.25,0.25,0.25,0.991,0.991,0.991,357,357,357,346,346,346,2,2,2
GPT-4.1-mini,title_description_clinical,1,0.969,0.969,0.969,,,,,,0.56,0.56,0.56,1,1,1,10,10,10,0.412,0.412,0.412,0.875,0.875,0.875,0.971,0.971,0.971,357,357,357,339,339,339,7,7,7
GPT-4.1-mini,title_only,1,0.978,0.978,0.978,0.009,-0.56,-0.412,-0.875,0.029,0,0,0,8,8,8,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,357,357,357,349,349,349,0,0,0
GPT-4o-mini,title_description,1,0.966,0.966,0.966,0.016,-0.188,-0.042,-0.625,0.032,0.25,0.25,0.25,6,6,6,6,6,6,0.25,0.25,0.25,0.25,0.25,0.25,0.983,0.983,0.983,357,357,357,343,343,343,2,2,2
GPT-4o-mini,title_description_clinical,1,0.95,0.95,0.95,,,,,,0.438,0.438,0.438,1,1,1,17,17,17,0.292,0.292,0.292,0.875,0.875,0.875,0.951,0.951,0.951,357,357,357,332,332,332,7,7,7
GPT-4o-mini,title_only,1,0.964,0.964,0.964,0.014,-0.003,0.041,-0.25,0.02,0.435,0.435,0.435,3,3,3,10,10,10,0.333,0.333,0.333,0.625,0.625,0.625,0.971,0.971,0.971,357,357,357,339,339,339,5,5,5
GPT-5-mini,title_description,1,0.978,0.978,0.978,-0.011,-0.445,-0.2,-0.625,0.003,0.333,0.333,0.333,6,6,6,2,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.994,0.994,0.994,357,357,357,347,347,347,2,2,2
GPT-5-mini,title_description_clinical,10,0.992,0.989,0.986,,,,,,0.824,0.778,0.737,1,1.0,1,4,3.0,2,0.778,0.7,0.636,0.875,0.875,0.875,0.994,0.991,0.989,357,357.0,357,347,346.0,345,7,7.0,7
GPT-5-mini,title_only,1,0.978,0.978,0.978,-0.011,-0.778,-0.7,-0.875,0.009,0,0,0,8,8,8,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,357,357,357,349,349,349,0,0,0
o4-mini,title_description,1,0.978,0.978,0.978,-0.01,-0.558,-0.168,-0.75,0.007,0.2,0.2,0.2,7,7,7,1,1,1,0.5,0.5,0.5,0.125,0.125,0.125,0.997,0.997,0.997,357,357,357,348,348,348,1,1,1
o4-mini,title_description_clinical,10,0.989,0.9875,0.983,,,,,,0.778,0.7575000000000001,0.7,1,1.0,1,5,3.5,3,0.7,0.6679999999999999,0.583,0.875,0.875,0.875,0.991,0.99,0.986,357,357.0,357,346,345.5,344,7,7.0,7
o4-mini,title_only,1,0.978,0.978,0.978,-0.01,-0.758,-0.668,-0.875,0.01,0,0,0,8,8,8,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,357,357,357,349,349,349,0,0,0
