custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD010372,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian cancer (HGSOC) and study of platinum-resistant and -sensitive HGSOC patients.,No | evidence: Description compares platinum-resistant and -sensitive HGSOC patient tumor samples; no mention of healthy/normal control samples. | justification: All samples described are tumor samples from HGSOC patients; there is no indication of inclusion of healthy control subjects or non-cancer tissue.,Not applicable | evidence: No explicit sample composition or counts provided and no healthy controls mentioned. | justification: Cannot assess proportion of healthy controls because none are reported.,"Yes | justification: Study performed quantitative proteome analysis, phospho- and interaction proteomics and immunopeptidomics (proteomics methods are central to the work).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset concerns HGSOC and uses multiple proteomics approaches, meeting criteria 1 and 3. However, it does not include healthy controls (criterion 2 not met), so it fails overall inclusion requirements.",No,False
PXD036969,,gpt-5-mini-2025-08-07,"No | justification: Title and description describe Long Covid Syndrome (LCS) / SARS-CoV-2 recovery groups, not ovarian cancer.","Yes | evidence: Description: study applied profiling to three groups: (1) healthy individuals vaccinated against SARS-CoV-2 without exposure to the full virus, (2) asymptomatic recovered, (3) symptomatic LCS patients. | justification: Group (1) are explicitly described as healthy individuals, serving as healthy controls.","Not applicable | evidence: No explicit sample counts or percentage composition for each group are provided in the title/description. | justification: Because explicit sample composition is not reported, the >=20% healthy-control criterion cannot be evaluated from the provided text.","Yes | justification: Description states 'Label-free proteome profiling' was performed on plasma, indicating proteomics data were generated.","meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset includes healthy controls and uses proteomics, but it is about Long Covid Syndrome, not ovarian cancer. Fails the primary ovarian-cancer inclusion criterion.",No,False
PXD051500,,gpt-5-mini-2025-08-07,Yes | justification: Study explicitly states samples are from patients with EOC (epithelial ovarian cancer) and compares platinum-sensitive vs platinum-resistant ovarian cancer-derived exosomes.,No | evidence: Sample groups described: 58 platinum-sensitive and 30 platinum-resistant patients (total 88) — no healthy/control subjects mentioned. | justification: All samples are from ovarian cancer patients; no healthy control cohort is indicated in the title or description.,"No | evidence: Reported sample composition: 58 + 30 = 88 samples, 0 healthy controls. | justification: Explicit sample counts provided show 0% healthy controls, which is below the required ≥20%.","Yes | justification: The study performed 4D data-independent acquisition (DIA) proteomic sequencing on exosomes, i.e., proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is ovarian cancer–specific and uses proteomic methods, but it lacks any healthy control samples (0% controls), so it fails the healthy-control inclusion requirement.",No,False
PXD019223,,gpt-5-mini-2025-08-07,"Yes | justification: Description states the study goal was to identify substrates for LKB1, 'required for epithelial ovarian cancer spheroid viability and metastasis', indicating the dataset pertains to ovarian cancer.","No | evidence: Description and title make no mention of healthy or non-cancer control samples; title indicates STK11 knockout experiment (STK11KO). | justification: The available metadata describes a knockout/model study related to ovarian cancer biology but does not indicate inclusion of healthy control samples (e.g., normal tissue or healthy donors).",Not applicable | evidence: No explicit sample composition or group counts provided in title/description. | justification: Cannot assess proportion of healthy controls because no sample composition is reported.,"Yes | justification: Title includes 'MIB' (kinase profiling) and 'TripleTOF5600' (a mass spectrometer), indicating proteomic/kinome mass-spectrometry data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–related and clearly proteomics data, it lacks evidence of healthy control samples (and no sample composition is provided). Because inclusion requires presence of healthy controls (≥20% if compositions given), it does not meet the criteria.",No,False
PXD040430,,gpt-5-mini-2025-08-07,No | justification: The study is a mechanistic investigation of HUWE1 and BRCA1-∆11q in cell lines and resistance to PARP inhibitors; it only mentions a single case of high-grade serous ovarian cancer and is not focused on ovarian cancer cohorts or samples.,No | evidence: Description makes no reference to healthy/normal control samples or cohorts; it discusses isogenic cell lines and a clinical case. | justification: No healthy control samples are described in the title or abstract.,Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Cannot evaluate percent healthy controls because no sample composition is reported.,"No | justification: The description describes genetic, cellular, and protein expression effects but does not mention proteomics experiments, mass spectrometry, or proteomic profiling.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: No | justification: The dataset is a mechanistic molecular biology study focused on BRCA1 splice variants and PARP inhibitor resistance in cell lines, with only a single ovarian cancer case mentioned; there is no indication of an ovarian cancer-focused cohort, no healthy control samples, and no proteomics data.",No,False
PXD005420,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state serous ovarian cancers and analysis of tumor microenvironment from serous ovarian cancer biopsies.,"Yes | evidence: ""biopsies including Tumor, Borderline and healthy regions of serous ovarian cancers."" | justification: Description indicates the study included healthy tissue regions alongside tumor and borderline regions, which serve as controls.","Not applicable | evidence: No sample counts or percentages reported in the title/description; only that biopsies included tumor, borderline and healthy regions. | justification: Explicit sample composition (counts or proportions) is not provided, so the >=20% healthy-control threshold cannot be assessed.","Yes | justification: Study uses top-down tissue microproteomics and MALDI MSI and reports identification of 289 proteins with PTMs and alternative proteins, indicating proteomic analysis.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset addresses serous ovarian cancer, includes healthy tissue regions as controls, and employs proteomic methods (top-down microproteomics, MALDI MSI). The conditional requirement about >=20% healthy controls cannot be evaluated because no sample composition is reported; this does not disqualify the dataset under the stated conditional rule.",Yes,False
PXD001849,,gpt-5-mini-2025-08-07,Unclear | justification: Title/description refer to 'gynecologic' or 'gynecological cancer' broadly but do not explicitly state ovarian cancer. Ovarian cancer may be included but is not specified.,"No | evidence: Description: 'tumor cells were captured by laser microdissection to identify biomarker candidate proteins, for gynecological cancer.' No mention of healthy controls, normal tissue, or non-cancer samples. | justification: The description only describes tumor tissue analysis; there is no explicit statement that healthy controls or normal samples were included.","Not applicable | evidence: No sample composition or counts are provided in the description. | justification: Because no sample composition is reported, the 20% healthy-control composition criterion cannot be assessed.","Yes | justification: Description explicitly states use of iTRAQ technology and shotgun proteomics on cancer tissues, which confirms proteomics data.",meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is proteomics-based (meets criterion 3) but does not explicitly pertain to ovarian cancer (only 'gynecologic' broadly) and does not mention inclusion of healthy controls or normal samples. Thus it fails criteria 1 and 2.,No,False
PXD005554,,gpt-5-mini-2025-08-07,"Yes | justification: Description includes high-grade serous ovarian cancer-derived omental metastasis and disease-free omentum from patients with non-metastatic ovarian cancer, so the dataset contains ovarian cancer samples.","Yes | evidence: Description mentions matched adjacent normal mammary gland tissues and ""disease-free omentum"" from patients. | justification: Non-tumor tissues (matched adjacent normal mammary gland and disease-free omentum) are included and serve as controls.","Unclear | evidence: No sample counts or explicit sample composition percentages are provided in the description. | justification: Because the description does not report numbers or proportions of samples, it is not possible to determine whether healthy controls constitute ≥20% of the dataset.","Yes | justification: LC-MS/MS was used on peptides from ECM-enriched samples, indicating mass-spectrometry-based proteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset includes ovarian cancer (HGSOC omental metastasis) and non-tumor control tissues (disease-free omentum and adjacent normal mammary tissue) and was generated by LC-MS/MS proteomics. The only unresolved point is the lack of explicit sample counts, so the ≥20% healthy-control proportion cannot be verified from the description.",Yes,False
PXD033569,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly refer to ovarian cancer; experiments were performed in A2780 ovarian cancer cells.,"No | evidence: Description reports an interference group (KD1) and a control group (NC) using the A2780 ovarian cancer cell line. | justification: The 'control' is a negative/control cell-line group, not healthy human or non-cancer tissue samples.","No | evidence: Sample composition given: 5 biological replicates in KD1 and 5 in NC (total 10); no healthy control samples reported. | justification: Explicit composition shows 0% healthy controls, which is below the required 20%.",Yes | justification: Proteomic analysis is described: TMT labeling and mass spectrometry (MS) analysis were performed.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–related and uses proteomics (TMT + MS), it lacks healthy control samples (controls are cancer cell-line controls), so it does not meet the healthy-controls criterion.",No,False
PXD055375,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study assesses HDAC inhibitor targets across ovarian cancer cell types.,No | evidence: Description mentions ovarian cancer and acute lymphoblastic leukemia cell types only; no mention of healthy/normal control samples or non-cancer tissues/cells. | justification: Dataset appears to use cancer cell lines (ovarian cancer and ALL) with no indication of healthy controls.,Not applicable | evidence: No explicit sample composition or counts are provided in the title/description. | justification: Cannot assess proportion of healthy controls because none are reported.,"Yes | justification: The study uses proteome integral solubility alteration (PISA), a proteomics approach to assess protein targets.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and uses a proteomics method (PISA), it does not report healthy controls in the description and thus fails the healthy-control inclusion criterion.",No,False
PXD000214,,gpt-5-mini-2025-08-07,"No | justification: The study is on CHO (Chinese hamster ovary) cell conditioned media and identification of autocrine growth factors for CHO cell cloning media; it is a cell‑line/bioprocess study, not human ovarian cancer.",No | evidence: Description only mentions CHO cell conditioned media harvested from fed batch bioreactors; no mention of healthy (human) control samples or control cohort. | justification: All samples described are CHO cell culture/media samples; there is no indication of healthy control subjects or samples.,"Not applicable | evidence: No sample composition or counts are provided and no healthy controls are mentioned. | justification: Because there are no healthy controls reported, the 20% composition criterion cannot be applied.","Yes | justification: The dataset used label-free shotgun proteomics with LC‑MS (LTQ Orbitrap Velos), peptide digestion, fractionation, and database searching (Sequest), consistent with proteomics experiments.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is proteomics, it does not concern human ovarian cancer and contains no healthy control samples; therefore it fails the primary disease and control inclusion criteria.",No,False
