custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD010372,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset is explicitly about ovarian cancer, particularly high-grade serous ovarian cancer (HGSOC), as indicated by the title and description.","No | evidence: The description specifies proteomes analyzed from platinum resistant and sensitive HGSOC patients' tumor samples, with no mention of healthy controls. | justification: No indication of healthy (non-cancer) control samples included in the dataset.","Not applicable | evidence: No explicit sample composition including healthy controls was provided. | justification: Since no healthy controls are included, the 20% criterion does not apply.","Yes | justification: The title and description indicate the dataset contains proteomics data, including quantitative proteomes, phospho-proteomics, interaction proteomics, and immunopeptidomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and includes proteomics data, it does not contain healthy controls, which is required for inclusion.",No,False
PXD036969,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset focuses on Long Covid Syndrome and its metabolic and immune signatures, not ovarian cancer.",Yes | evidence: Description states inclusion of healthy individuals vaccinated against SARS-CoV-2 without virus exposure as one group. | justification: Healthy control group is included in the study.,Unclear | evidence: Sample composition proportions between groups are not explicitly provided in the description. | justification: No explicit information on percentage of healthy controls relative to other samples.,Yes | justification: The study includes label-free proteome profiling of blood plasma samples.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: While the dataset includes healthy controls and proteomics data, it is not about ovarian cancer, failing the primary inclusion criterion.",No,False
PXD051500,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset involves patients with epithelial ovarian cancer (EOC), which is a subtype of ovarian cancer.",No | evidence: The dataset only includes exosomes from platinum-sensitive and platinum-resistant ovarian cancer patients (58 and 30 respectively) and does not mention any healthy control samples. | justification: No mention of healthy control samples in the description.,"Not applicable | evidence: No healthy control samples described. | justification: Without healthy controls, composition criteria do not apply.",Yes | justification: The dataset uses proteomic sequencing (4D data-independent acquisition DIA) on exosomes derived from ovarian cancer tissues.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and uses proteomics, it lacks healthy control samples, which does not meet inclusion criteria.",No,False
PXD019223,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset is focused on epithelial ovarian cancer, specifically investigating substrates for LKB1 related to ovarian cancer spheroid viability and metastasis.",Unclear | evidence: No mention of healthy controls in the description or title. | justification: The description does not explicitly state whether healthy control samples are included.,"Not applicable | evidence: No explicit sample composition provided. | justification: Without information on sample types, percentage of healthy controls cannot be determined.","Yes | justification: The dataset involves analysis of kinase substrates, which implies proteomic data collection and analysis.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is related to ovarian cancer and proteomics, the lack of information on healthy controls means it does not meet inclusion criteria requiring healthy controls.",No,False
PXD040430,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset description mentions high grade serous ovarian cancer explicitly.,No | evidence: The description and title focus on cancer cell lines and mutation effects; no mention of healthy controls or samples. | justification: No indication of healthy controls in the dataset description.,"Not applicable | justification: Since no healthy controls are present, this criterion does not apply.","Unclear | justification: The description discusses protein splice variants and protein levels, but does not explicitly state that proteomics methods were used or that proteomic data are included.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: While the dataset is clearly ovarian cancer related, absence of healthy controls and lack of explicit proteomics data prevent meeting inclusion criteria.",No,False
PXD005420,,gpt-4.1-mini-2025-04-14,Yes | justification: The title and description clearly state that the dataset involves ovarian serous cancer and tumor microenvironment in serous ovarian cancers.,"Yes | evidence: The description mentions biospies including Tumor, Borderline and healthy regions of serous ovarian cancers. | justification: The dataset contains samples from healthy tissue regions, serving as healthy controls.",Unclear | evidence: The description specifies sample types but does not provide explicit proportions or percentages of healthy controls among total samples. | justification: No explicit sample composition data to determine if healthy controls are at least 20%.,"Yes | justification: The dataset involves top-down tissue microproteomic analysis and identification of 289 proteins with post-translational modifications, confirming a proteomics dataset.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset is clearly about ovarian cancer and involves proteomics. It includes healthy tissue samples but lacks explicit sample composition information to confirm ≥20% healthy controls.,No,False
PXD001849,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset is about gynecological cancers in general, not specifically ovarian cancer.",Unclear | evidence: No mention of healthy controls in description. | justification: There is no information whether healthy controls are included.,"Not applicable | evidence: No explicit sample compositions provided. | justification: Since healthy controls are not confirmed, this is not applicable.",Yes | justification: Description indicates shotgun proteomics using iTRAQ technology was performed.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: Dataset focuses on gynecological cancer broadly, not ovarian cancer specifically, and does not state inclusion of healthy controls, though it uses proteomics.",No,False
PXD005554,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset includes samples from high-grade serous ovarian cancer-derived omental metastasis, indicating it is about ovarian cancer.","Yes | evidence: The dataset includes disease-free omentum samples from patients without metastasis, which serve as matched healthy controls for the ovarian cancer samples. | justification: Disease-free omentum samples are used as controls compared to metastatic ovarian cancer samples.","Unclear | evidence: The exact number or percentage of healthy control (disease-free omentum) samples relative to cancer samples is not specified in the description. | justification: Sample compositions are provided at a conceptual level but not quantified, so the proportion of healthy controls cannot be determined.","Yes | justification: LC-MS/MS proteomic analysis was performed on ECM-enriched samples, clearly indicating proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset contains ovarian cancer samples and uses proteomics methods. It contains healthy controls conceptually, but the proportion of healthy controls is not specified, leaving the criterion partially unclear.",No,False
PXD033569,,gpt-4.1-mini-2025-04-14,Yes | justification: The title and description explicitly state that the study involves ovarian cancer cells (A2780 ovarian cells) and the pathological process of ovarian cancer.,"No | evidence: The description mentions an interference group (KD1) and a control group (NC) but does not specify that the control group consists of healthy (non-cancer) samples, only control cells. | justification: Control group likely refers to untreated or non-interfered ovarian cancer cells, not healthy controls from non-cancer subjects.","Not applicable | evidence: No explicit sample composition regarding healthy controls was provided. | justification: Since no healthy controls are present or specified, this criterion does not apply.","Yes | justification: Proteomic analysis was conducted using TMT labeling and MS analysis on the samples, confirming proteomics methodology.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and includes proteomics, it lacks healthy control samples as per the description. Therefore, it does not meet the healthy controls inclusion criterion.",No,False
PXD055375,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset title and description specifically mention ovarian cancer as the focus of the study with HDAC inhibitor targets across ovarian cancer cell types.,"No | evidence: The description only references ovarian cancer and acute lymphoblastic leukemia cell types, with no mention of healthy control samples. | justification: No indication of healthy control samples being included.","Not applicable | evidence: No sample composition details indicating healthy controls are provided. | justification: Since healthy controls are not present, the percentage composition is not applicable.","Yes | justification: The study uses proteome integral solubility alteration (PISA), a proteomics method, to identify targets, confirming this is a proteomics dataset.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset focuses on ovarian cancer and uses proteomics methods, it lacks healthy control samples, failing the inclusion criterion for controls.",No,False
