Model,Version,Trial,Split,File,true_positive,false_positive,false_negative,true_negative,total_files_evaluated,sensitivity,specificity,precision,accuracy,f1_score
GPT-4.1-mini,v1,,prompt-set,out-gpt-4.1-mini-chemo-may13-v1-prompt-set.jsonl,4,5,0,170,179,1.0,0.971,0.444,0.972,0.615
GPT-4.1-mini,v2,,combined-prompt-test,combined:out-gpt-4.1-mini-chemo-may13-v2-prompt-set.jsonl+out-gpt-4.1-mini-chemo-may13-v2-test-set.jsonl,11,15,1,509,536,0.917,0.971,0.423,0.97,0.579
GPT-4.1-mini,v2,,prompt-set,out-gpt-4.1-mini-chemo-may13-v2-prompt-set.jsonl,4,5,0,170,179,1.0,0.971,0.444,0.972,0.615
GPT-4.1-mini,v2,,test-set,out-gpt-4.1-mini-chemo-may13-v2-test-set.jsonl,7,10,1,339,357,0.875,0.971,0.412,0.969,0.56
GPT-4o-mini,v1,,prompt-set,out-gpt-4o-mini-chemo-may13-v1-prompt-set.jsonl,4,6,0,169,179,1.0,0.966,0.4,0.966,0.571
GPT-4o-mini,v2,,combined-prompt-test,combined:out-gpt-4o-mini-chemo-may13-v2-prompt-set.jsonl+out-gpt-4o-mini-chemo-may13-v2-test-set.jsonl,11,22,1,502,536,0.917,0.958,0.333,0.957,0.489
GPT-4o-mini,v2,,prompt-set,out-gpt-4o-mini-chemo-may13-v2-prompt-set.jsonl,4,5,0,170,179,1.0,0.971,0.444,0.972,0.615
GPT-4o-mini,v2,,test-set,out-gpt-4o-mini-chemo-may13-v2-test-set.jsonl,7,17,1,332,357,0.875,0.951,0.292,0.95,0.438
GPT-5-mini,v1,,prompt-set,out-gpt-5-mini-chemo-may13-v1-prompt-set.jsonl,4,2,0,173,179,1.0,0.989,0.667,0.989,0.8
GPT-5-mini,v2,seed43,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-43.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
GPT-5-mini,v2,seed44,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-44.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
GPT-5-mini,v2,seed45,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-45.jsonl,7,2,1,347,357,0.875,0.994,0.778,0.992,0.824
GPT-5-mini,v2,seed46,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-46.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
GPT-5-mini,v2,seed47,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-47.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
GPT-5-mini,v2,seed48,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-48.jsonl,7,2,1,347,357,0.875,0.994,0.778,0.992,0.824
GPT-5-mini,v2,seed49,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-49.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
GPT-5-mini,v2,seed50,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-50.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
GPT-5-mini,v2,seed51,test-set,out-gpt-5-mini-chemo-may13-v2-test-set-51.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
GPT-5-mini,v2,,combined-prompt-test,combined:out-gpt-5-mini-chemo-may13-v2-prompt-set.jsonl+out-gpt-5-mini-chemo-may13-v2-test-set.jsonl,11,3,1,521,536,0.917,0.994,0.786,0.993,0.846
GPT-5-mini,v2,,prompt-set,out-gpt-5-mini-chemo-may13-v2-prompt-set.jsonl,4,1,0,174,179,1.0,0.994,0.8,0.994,0.889
GPT-5-mini,v2,,test-set,out-gpt-5-mini-chemo-may13-v2-test-set.jsonl,7,2,1,347,357,0.875,0.994,0.778,0.992,0.824
o4-mini,v1,,prompt-set,out-o4-mini-chemo-may13-v1-prompt-set.jsonl,3,2,1,173,179,0.75,0.989,0.6,0.983,0.667
o4-mini,v2,seed43,test-set,out-o4-mini-chemo-may13-v2-test-set-43.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
o4-mini,v2,seed44,test-set,out-o4-mini-chemo-may13-v2-test-set-44.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
o4-mini,v2,seed45,test-set,out-o4-mini-chemo-may13-v2-test-set-45.jsonl,7,4,1,345,357,0.875,0.989,0.636,0.986,0.737
o4-mini,v2,seed46,test-set,out-o4-mini-chemo-may13-v2-test-set-46.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
o4-mini,v2,seed47,test-set,out-o4-mini-chemo-may13-v2-test-set-47.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
o4-mini,v2,seed48,test-set,out-o4-mini-chemo-may13-v2-test-set-48.jsonl,7,5,1,344,357,0.875,0.986,0.583,0.983,0.7
o4-mini,v2,seed49,test-set,out-o4-mini-chemo-may13-v2-test-set-49.jsonl,7,3,1,346,357,0.875,0.991,0.7,0.989,0.778
