custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,Q6,in_actual
PXD010372,,gpt-5-mini-2025-08-07,Yes | justification: Study explicitly analyzes high-grade serous ovarian cancer (HGSOC) patient tumors and addresses platinum sensitivity/resistance in HGSOC.,"No | evidence: Description compares platinum-resistant and -sensitive HGSOC patients; no mention of healthy patient controls. The study identifies CT45 as a prognostic/chemosensitivity mediator and therapeutic target, not a diagnostic biomarker. | justification: No healthy controls are described, and the reported biomarker finding is prognostic/therapeutic (chemosensitivity), not diagnostic biomarker discovery as required by the inclusion criterion.","Not applicable | evidence: No explicit sample composition provided and no healthy controls are mentioned in the description. | justification: Because healthy controls are not reported, the >=20% healthy-control composition criterion does not apply.","Yes | justification: The study performed quantitative proteomics on FFPE tumor samples and additional phospho-, interaction proteomics and immunopeptidomics (all proteomic techniques).","Yes | evidence: Description states: ""In vitro, CT45 regulated PP4 activity and its high expression led to..."" indicating in vitro experiments. | justification: Although the core dataset uses clinical tumor samples, the study includes in vitro experiments (non-clinical).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is ovarian cancer proteomics on clinical HGSOC samples (meets criteria 1 and 3). However, it does not include healthy patient controls and the reported biomarker is prognostic/therapeutic rather than diagnostic, so it fails criterion 2. Presence of some in vitro work does not make the dataset entirely non-clinical, but failure to meet the healthy-control/diagnostic biomarker requirement excludes it.",No,False
PXD036969,,gpt-5-mini-2025-08-07,"No | justification: The study addresses Long COVID Syndrome (post–SARS-CoV-2) using plasma from healthy, recovered, and Long COVID patients — it is not about ovarian cancer.","No | evidence: Description lists three groups including 'healthy individuals vaccinated against SARS-CoV-2 without exposure to the full virus' and compares signatures across groups. | justification: Although the dataset includes healthy controls and explores diagnostic/metabolic signatures for Long COVID, it does not involve diagnostic biomarker discovery for ovarian cancer.","Unclear | evidence: The description specifies group membership (healthy vaccinated, recovered, Long COVID) but provides no explicit sample counts or percentages for each group. | justification: Because sample numbers/composition are not reported, it is not possible to determine whether healthy controls constitute ≥20% of samples.",Yes | justification: The study performed label-free proteome profiling on plasma (explicitly mentioned 'label-free proteome profiling').,"No | evidence: Samples are blood plasma derived from human participants in three clinical groups (healthy, recovered, Long COVID). | justification: No xenografts, cell lines, animal models, or ex vivo/in vitro non-clinical samples are described.","meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: While the dataset includes human plasma proteomics and healthy control groups (meeting criteria 2 and 3), it does not concern ovarian cancer (fails criterion 1). Therefore it does not meet the primary inclusion requirement.",No,False
PXD051500,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state the study was performed on patients with EOC (epithelial ovarian cancer), comparing platinum-sensitive and platinum-resistant cases.","No | evidence: Description lists 58 platinum-sensitive and 30 platinum-resistant patients; no healthy controls are mentioned. The reported biomarker work identifies immune-related proteins and builds a model likely related to treatment response (resistance), not diagnostic detection of ovarian cancer. | justification: The dataset contains only ovarian cancer patient groups (sensitive vs resistant) and the described biomarker analysis appears to address resistance prediction, not disease diagnosis; therefore it does not meet the 'healthy controls OR diagnostic biomarker discovery' criterion.","No | evidence: Explicit sample counts provided: 58 platinum-sensitive and 30 platinum-resistant patients; no healthy/control subjects reported. | justification: Because no healthy controls are present in the explicit sample composition, the >=20% healthy-control requirement is not met.","Yes | justification: The study used 4D data-independent acquisition (DIA) proteomic sequencing on exosomes, indicating proteomics data.","No | evidence: Samples are described as exosomes obtained from patients with EOC (clinical human samples). | justification: The dataset derives from human patient samples rather than xenografts, cell lines, animals, or non-human ex vivo/in vitro models, so it is clinical.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is proteomic and explicitly about ovarian cancer patient samples, it lacks healthy controls and does not describe diagnostic biomarker discovery for ovarian cancer (it focuses on platinum-resistance), so it fails the healthy-control/diagnostic criterion required for inclusion.",No,False
PXD019223,,gpt-5-mini-2025-08-07,"Yes | justification: Description states the work focuses on LKB1, which is required for epithelial ovarian cancer spheroid viability and metastasis, indicating the dataset is about ovarian cancer.","No | evidence: Description: goal was to identify potential substrates for LKB1; no mention of patient samples, healthy controls, or diagnostic biomarker discovery. | justification: The stated aim is mechanistic (substrate identification) rather than diagnostic biomarker discovery, and no healthy patient controls are described.","Not applicable | evidence: No explicit sample composition or mention of healthy controls in the description. | justification: Because no healthy controls are indicated, sample composition criteria do not apply.","Yes | justification: Title includes TripleTOF5600 and MIB (multiplexed inhibitor beads) profiling, indicating mass-spectrometry–based proteomics/kinome profiling.","Yes | evidence: Title includes STK11KO and description references spheroid viability and substrate identification—consistent with genetic knockout and in vitro/ex vivo cell model experiments rather than clinical human samples. | justification: STK11 (LKB1) knockout and spheroid experiments imply cell line or model systems (non-clinical); no patient or animal model sampling is described, but the experimental focus is preclinical.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset concerns ovarian cancer and uses proteomics, it lacks healthy patient controls and is a mechanistic, non-clinical (cell/model) study. It therefore fails the healthy-control/biomarker and clinical-sample criteria for inclusion.",No,False
PXD040430,,gpt-5-mini-2025-08-07,No | justification: The study is a mechanistic investigation using isogenic cell models of BRCA1 mutations and focuses on PARP inhibitor resistance; ovarian cancer is only mentioned incidentally (a single case observation) rather than being the primary subject of a clinical ovarian cancer dataset.,"No | evidence: Description identifies HUWE1 as a candidate biomarker for PARPi resistance to assess in future trials, but does not describe diagnostic biomarker discovery in ovarian cancer clinical samples nor inclusion of healthy patient controls. | justification: The work is preclinical/mechanistic and does not present diagnostic biomarker discovery in clinical ovarian cancer cohorts nor include healthy control patients.","Not applicable | evidence: No explicit sample composition or healthy control cohort is described. | justification: Because there are no reported clinical sample compositions or healthy controls, the 20% criterion is not applicable.",No | justification: The description refers to protein-level effects and splice variant expression but does not indicate proteomics methods or datasets (appears to be molecular/cell biology experiments).,"Yes | evidence: ""Using isogenic cells with different BRCA1 mutations"" and ""HUWE1 silencing"" indicate experiments in cell lines/in vitro models. | justification: Primary experiments are non-clinical (cell-based/isogenic models), which matches exclusion of non-clinical datasets.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: No | justification: The dataset/report is a preclinical mechanistic study using cell models with only incidental mention of an ovarian cancer case, contains no healthy patient controls or clinical diagnostic biomarker discovery in ovarian cohorts, and does not report proteomics data. It also uses non-clinical samples, so it fails the inclusion criteria.",No,False
PXD005420,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly refer to serous ovarian cancers and tumor/healthy regions of serous ovarian cancers.,"Yes | evidence: ""biospies including Tumor, Borderline and healthy regions of serous ovarian cancers."" | justification: Description states biopsies include healthy regions, indicating presence of healthy tissue controls. The work also explores potential novel targets in tumors (biomarker/target discovery context).","Unclear | evidence: The description lists tissue types (Tumor, Borderline and healthy) but does not provide sample counts or proportions. | justification: No explicit sample numbers or percentages are provided, so it cannot be confirmed whether healthy samples comprise >=20% of cohort. Per instructions, include for further human review.","Yes | justification: Study uses top-down tissue microproteomics and MALDI MSI and reports identification of 289 proteins with PTMs and alternative proteins, confirming proteomics data.","Yes | evidence: ""Co-expression ... was realized by transfection in HEK 293 and HeLa cells with an expression plasmid"" | justification: In addition to clinical biopsies, the study includes in vitro cell-line experiments (HEK293 and HeLa), which are non-clinical.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset is clearly about ovarian (serous) cancer and uses proteomics on human tissue including healthy regions. However, explicit sample composition (counts/percent healthy) is not provided, so the healthy-control proportion criterion cannot be confirmed. Non-clinical cell-line validation experiments are present but the dataset includes clinical biopsies, so it is appropriate to consider inclusion pending human review of sample composition.",Yes,False
PXD001849,,gpt-5-mini-2025-08-07,"Unclear | justification: Title and description refer broadly to 'gynecologic' or 'gynecological' cancer tissues, but ovarian cancer is not explicitly mentioned.","Unclear | evidence: Description: '...to identify biomarker candidate proteins, for gynecological cancer.' No mention of healthy patient controls or ovarian-specific biomarker discovery. | justification: The study states it is performing biomarker discovery for gynecological cancers, but does not specify ovarian cancer nor indicate presence of healthy control samples.","Not applicable | evidence: No sample composition or counts provided in the title/description; healthy controls are not mentioned. | justification: Explicit sample composition is not provided, and healthy controls are not described, so percent composition cannot be assessed.","Yes | justification: The description specifies use of iTRAQ technology and shotgun proteomics on cancer tissues, indicating a proteomics dataset.","No | evidence: Description: 'tumor cells were captured by laser microdissection' from gynecological cancer tissues. | justification: The dataset appears to use clinical tumor tissue samples rather than non-clinical models (xenografts, cell lines, or animal models).","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While this is a proteomics study (meets criterion 3) and performs biomarker discovery for gynecological cancers, it does not explicitly state ovarian cancer and does not mention healthy controls or sample composition. Therefore it fails the ovarian-cancer-specific inclusion criterion and the healthy-control requirement.",No,False
PXD005554,,gpt-5-mini-2025-08-07,"Yes | justification: Description includes disease-free omentum from a patient with non-metastatic ovarian cancer and high-grade serous ovarian cancer-derived omental metastasis samples, so ovarian cancer material is present.","No | evidence: The only controls mentioned are 'matched adjacent normal mammary gland tissues' (for breast cancer samples) and 'disease-free omentum from patient with non-metastatic ovarian cancer.' No explicit healthy (disease-free healthy donors) controls are described, and the study description does not state it is a diagnostic biomarker discovery study. | justification: Controls provided are either breast-tissue normals (not ovarian healthy donors) or disease-free tissue from an affected patient (not healthy controls). No indication of biomarker discovery aim.","Not applicable | evidence: No explicit sample composition (counts or proportions) for healthy controls is provided in the description; the only potential 'control' ovarian tissue is disease-free omentum from an affected patient. | justification: Because there are no explicit healthy-control sample counts/composition, the 20% threshold cannot be assessed.","Yes | justification: The dataset used LC-MS/MS analysis of peptides from ECM-enriched samples, which is proteomics.","No | evidence: Samples are described as human tissue samples (triple-negative breast cancer and matched adjacent normal mammary gland tissues; disease-free omentum and omental metastasis from ovarian cancer). No cell lines, xenografts, animal models, or in vitro model systems are mentioned. | justification: All sample types reported are human clinical tissue specimens.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset includes ovarian-cancer-derived omental metastasis and thus meets the ovarian cancer criterion and uses LC-MS/MS proteomics. However, it does not include explicit healthy patient controls (or a stated diagnostic biomarker discovery aim), so it fails the healthy-control/biomarker criterion required for inclusion.",No,False
PXD033569,,gpt-5-mini-2025-08-07,Yes | justification: Study investigates La protein effects in A2780 ovarian cancer cells and its role in the pathological process of ovarian cancer.,"No | evidence: Description states comparison between La-knockdown (KD1) and control (NC) in A2780 cell line; no patient or healthy control samples mentioned and no diagnostic biomarker discovery in patient cohorts described. | justification: Controls are experimental cell-line controls (NC), not healthy human controls, and the study is a mechanistic/functional proteomic analysis rather than clinical biomarker discovery.",Not applicable | evidence: No human sample composition provided; study uses cell line groups only. | justification: No explicit sample composition of human subjects to evaluate percentage of healthy controls.,Yes | justification: Proteomic analysis performed using TMT labeling and mass spectrometry (MS) on the experimental groups.,"Yes | evidence: Study performed in A2780 ovarian cancer cell line with lentiviral interference; described as biological replicates of cell-line groups (KD1 vs NC). | justification: This is an in vitro cell line study (non-clinical), meeting the exclusion definition for non-clinical datasets.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset concerns ovarian cancer and uses proteomics (TMT-MS), it lacks healthy human controls or diagnostic biomarker discovery in patient cohorts and is a non-clinical in vitro cell-line study, which falls under exclusions.",No,False
PXD055375,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly reference ovarian cancer (targets of HDAC inhibitors in ovarian cancer).,No | evidence: Description: 'using proteome integral solubility alteration (PISA) to assess HDAC inhibitor targets across ovarian cancer and acute lymphoblastic leukemia cell types.' | justification: No mention of healthy patient controls or diagnostic biomarker discovery; study appears to compare cancer cell types rather than patient cohorts with healthy controls.,"Not applicable | evidence: No explicit sample composition provided; description refers to 'cell types' rather than patient samples. | justification: Because there are no mentioned healthy patient controls, the 20% composition criterion is not applicable.","Yes | justification: Uses proteome integral solubility alteration (PISA), a proteomics-based method for assessing protein targets and stability.","Yes | evidence: Description refers to 'cell types' (ovarian cancer and acute lymphoblastic leukemia cell types). | justification: Study appears to be performed in cell lines/in vitro rather than clinical patient samples, which makes it a non-clinical dataset (exclusion criterion).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset addresses ovarian cancer and uses a proteomics method (PISA), it lacks healthy patient controls or biomarker discovery and is a non-clinical (cell-type/likely cell line) study. Thus it does not meet the healthy-control requirement and is excluded for being non-clinical.",No,False
