custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE189047.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: Dataset consists of gene expression data from A549 lung cancer cell line treated with various agents; no patient survival time or status data provided. | justification: The dataset is based on cell line experiments, not patient clinical data, so survival information is absent.","No | stage i evidence: No patient data or staging information available; dataset is from cell line samples. | act evidence: No adjuvant chemotherapy annotation present; treatments are experimental agents on cell lines, not clinical ACT. | justification: No clinical patient data or annotations related to stage or ACT are included.",meets survival criterion: No | meets stage or act criterion: No | justification: Dataset lacks patient survival data and clinical annotations required for inclusion; it is an in vitro cell line study.,No,False
samples_table_GSE10096.csv,,gpt-4.1-mini-2025-04-14,"Yes | evidence: Metastatic activity was assessed using Kaplan-Meier curves showing animal survival after intracardiac injection of control and metastatic subpopulations. | justification: Kaplan-Meier survival curves indicate presence of survival time and status data, fulfilling the survival data criterion.","No | stage i evidence: No information on patient stage or clinical samples; dataset consists of human NSCLC cell lines with bone tropism used in mouse models. | act evidence: No explicit adjuvant chemotherapy annotation is provided; dataset is based on cell lines and animal models, not patient treatment data. | justification: Dataset is preclinical, involving cell lines and mouse models without patient clinical stage or treatment annotations.","meets survival criterion: Yes | meets stage or act criterion: No | justification: While survival data (animal survival) is present, the dataset lacks patient clinical stage or adjuvant chemotherapy annotation, thus does not meet the inclusion criteria requiring either majority stage I patients or ACT annotation.",No,False
samples_table_GSE27606.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset provides information on PBMC samples before and after surgery, with clinical annotations including stage and diagnosis, but does not include patient-specific survival time or status data such as overall survival or progression-free survival. | justification: Survival data (time and status) is not present in the dataset or description; only sample collection timing relative to surgery is noted.","Yes | stage i evidence: Multiple patients are annotated with Stage I NSCLC (e.g., stages 1A, 1B) in the 'GPL8179_Stage' column, comprising a substantial portion of the dataset. | act evidence: No explicit adjuvant chemotherapy annotation is provided in the dataset. | justification: Although no ACT annotation is present, more than 50% of patients have Stage I disease, meeting the criterion for inclusion based on stage.","meets survival criterion: No | meets stage or act criterion: Yes | justification: The dataset lacks survival time and status data, failing the primary inclusion criterion. However, it meets the secondary criterion of having a majority of Stage I patients. Since survival data is mandatory, the dataset does not fully meet inclusion criteria.",No,False
samples_table_GSE38054.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset consists of gene expression data from human lung cancer cell lines (NSCLC H358) treated with vehicle or DAPT, with no mention of patient survival time or status. | justification: The data is from cell line experiments, not patient clinical data, so survival information is not available.","No | stage i evidence: No patient data or staging information is provided; the dataset is from cell lines. | act evidence: No adjuvant chemotherapy annotation is present; treatment is with DAPT or vehicle in cell lines. | justification: Since this is an in vitro cell line dataset, there is no patient stage or ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival data and does not include patient stage or ACT annotation, thus does not meet inclusion criteria.",No,False
samples_table_GSE240758.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample metadata do not include any patient-specific survival time or status data such as overall survival (OS), recurrence-free survival (RFS), or progression-free survival (PFS). | justification: Survival data is a required inclusion criterion, but no survival time or status information is provided in the dataset or metadata.","No | stage i evidence: Among lung cancer patients, only 1 sample is explicitly Stage I (GSM7708780 Adenocarcinoma Sample 3, Stage I; GSM7708783 Squamous Cell Carcinoma Sample 2, Stage IB; GSM7708789 Small Cell Lung Cancer Sample 4, Stage I). The total number of lung cancer samples is approximately 18 (excluding healthy donors). Thus, Stage I samples are less than 50%. | act evidence: There is no explicit annotation or mention of adjuvant chemotherapy (ACT) in the dataset or metadata. | justification: The dataset does not have a majority (>50%) of Stage I NSCLC patients, nor does it have explicit ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not meet the criterion of having at least 50% Stage I NSCLC patients or explicit ACT annotation. Therefore, it does not meet the inclusion criteria.",No,False
samples_table_GSE8332.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset consists of gene expression data from various cancer cell lines cultured in vitro with no mention of patient-specific survival time or status. | justification: The data is from cell lines, not patient samples, so no survival data is available.","No | stage i evidence: No patient samples or staging information provided; only cell lines are included. | act evidence: No adjuvant chemotherapy annotation is present; dataset describes untreated cell lines. | justification: Dataset does not include patient clinical data or treatment annotations, only cell line data.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival data and clinical annotations such as stage or adjuvant chemotherapy; it consists solely of cancer cell lines, thus does not meet inclusion criteria.",No,False
samples_table_GSE92679.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset consists of gene expression data from NSCLC cell lines treated with various compounds; no patient survival time or status data is provided. | justification: The description and sample annotations indicate experiments on cell lines, not patient clinical data with survival outcomes.","No | stage i evidence: No patient samples or staging information is provided; only cell lines are studied. | act evidence: No adjuvant chemotherapy annotation is present; dataset involves in vitro treatments, not patient treatment data. | justification: The dataset does not include patient samples, so neither stage I composition nor ACT annotation applies.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival data and clinical annotations required for inclusion; it is an in vitro cell line study.,No,False
samples_table_GSE75960.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: Dataset consists of expression data from NSCLC cell line DV90 after BET inhibitor treatment; no patient survival time or status data provided. | justification: The dataset is derived from cell line experiments, not patient samples, so survival data is not applicable.","No | stage i evidence: No patient samples or staging information; data is from a cell line, not clinical samples. | act evidence: No adjuvant chemotherapy annotation present; dataset describes in vitro drug treatment, not patient treatment data. | justification: Since this is a cell line study, there is no patient stage or treatment annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival data and any clinical annotation regarding stage or adjuvant chemotherapy; it is an in vitro cell line study and does not meet inclusion criteria.,No,False
samples_table_GSE115864.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations do not mention any patient-specific survival time or status data such as overall survival or progression-free survival. | justification: The dataset appears to be experimental data from cell lines treated with various conditions, not clinical patient data with survival outcomes.","No | justification: There is no indication of patient samples, staging information, or adjuvant chemotherapy annotation; the samples are cell lines under different treatment conditions.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival data and does not include clinical samples with stage I or adjuvant chemotherapy annotation, thus does not meet inclusion criteria.",No,False
samples_table_GSE27388.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations do not mention any patient-specific survival time or status data such as overall survival (OS), relapse-free survival (RFS), or progression-free survival (PFS). | justification: Survival data is a required inclusion criterion, but the dataset only provides gene expression profiling data from FFPE cervical cancer samples without any survival information.","No | stage i evidence: No information on NSCLC stage I patient composition is provided; the samples are from cervical cancer, not NSCLC. | act evidence: No explicit adjuvant chemotherapy annotation is present in the dataset description or sample metadata. | justification: The dataset is from cervical squamous cell carcinoma and adenocarcinoma samples, not NSCLC, and lacks any stage or adjuvant chemotherapy data relevant to NSCLC.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset does not contain survival data nor does it include NSCLC patients with stage I or adjuvant chemotherapy annotation. Additionally, the samples are from cervical cancer, not NSCLC, making it ineligible for inclusion.",No,False
