custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips | justification: Dataset uses human microarray expression profiling,"No | evidence: Title and description focus on coronary artery disease, not ALS-FTD | justification: Disease is CAD, not ALS or FTD",No | evidence: Samples are circulating leukocytes (peripheral blood) | justification: No CNS tissue sampled,"No | evidence: Samples from patients’ blood; no in vitro cell lines or models mentioned | justification: Clinical patient samples, not disease models",Yes | evidence: 110 patients with CAD vs 112 matched controls without CAD; parallel group design | justification: Classic case/control comparison,Yes | evidence: Organism part: peripheral blood leukocytes | justification: Blood is not an ALS-FTD-relevant CNS region,No | evidence: Array assay; RNA microarray | justification: Technology is compatible (microarray),"justification: Although platform and design are appropriate, the dataset focuses on coronary artery disease and peripheral blood rather than ALS-FTD and CNS tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: Affymetrix microarray (U133 plus 2.0) profiling of human RNA,"No | evidence: Title and description: study of fertility in cryptorchidism | justification: Disease under study is cryptorchidism, not ALS-FTD","No | evidence: Source Characteristics: Organism part: total testicular | justification: Samples are from testicular biopsies, not CNS tissue","No | evidence: Samples are tissue biopsies, not cell lines or models | justification: Direct patient testicular tissue, not in vitro model",Yes | evidence: Samples from cryptorchid boys and age-matched controls | justification: Design includes patient vs control comparisons,Yes | evidence: Organism part: total testicular | justification: Testicular tissue is not a brain region affected by ALS-FTD,No | evidence: Technology: Array assay | justification: Microarray expression profiling is compatible,"justification: Although the dataset meets microarray and case/control criteria, it does not study ALS-FTD or involve CNS tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: The dataset uses whole-genome expression profiling on a human system via microarray.,No | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: The study models an ALS-linked SOD1 mutation but does not address ALS-FTD in patients or include frontotemporal dementia aspects.,"No | evidence: Sample attribute: Cell line: neuroblastoma SH-SY5Y | justification: Samples are an in vitro neuroblastoma cell line, not human CNS tissue.",Yes | evidence: Cell line: neuroblastoma SH-SY5Y stably transfected with SOD1 constructs | justification: The study uses a patient-derived in vitro cell model rather than clinical tissue.,"No | evidence: No case/control clinical groups; comparison is between engineered cell lines | justification: Design contrasts mutant versus wild-type in cell culture, not patient case/control cohorts.","No | evidence: No brain region specified | justification: The dataset uses cell lines, so no brain region sampling is involved.","No | evidence: Technology: Array assay | justification: The study uses microarray, which is compatible with inclusion criteria.","justification: Although it employs human microarray profiling, it is a non-clinical cell line model lacking patient CNS tissue and case/control design, and does not address ALS-FTD clinical pathology.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: “DNA-DNA hybridization was performed using a microarray for over 300 bacterial species” | justification: This is a microbial 16S rRNA‐based array for bacterial profiling, not human gene expression microarray","No | evidence: Disease state: periodontitis | justification: The study focuses on periodontal disease, not ALS‐FTD","No | evidence: Samples: gingival crevicular fluid and subgingival plaque | justification: Specimens are oral fluids, not human CNS tissue",No | evidence: Samples collected directly from patients (GCF and PP) | justification: No in vitro cell lines or disease models used,No | evidence: 17 subjects all with periodontitis; no unaffected control group reported | justification: No comparison between diseased and healthy controls,Yes | evidence: Samples from gingival crevicular fluid | justification: Study does not involve any brain regions relevant to ALS‐FTD,"No | evidence: Technology: Array assay (DNA‐DNA hybridization) | justification: Although a microbial array, it is still a microarray platform (not RNA‐seq/proteomics)","justification: The dataset profiles bacterial species in periodontal samples, unrelated to human CNS microarray expression or ALS‐FTD",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Description: ""We used Affymetrix microarrays to detail the global gene expression profiles ... in sorted human cancer cells"" | justification: Affymetrix microarray profiling was performed on human-derived cancer cells","No | evidence: Description: study focuses on colon cancer cells and mouse fibroblasts; no mention of ALS or FTD | justification: Disease context is cancer, not ALS-FTD","No | evidence: Samples: mouse ileum or colon tissues, human colon cancer cells | justification: No human brain or CNS tissues were analyzed","Yes | evidence: Use of cultured cells, T84 and Caco2 cell lines, mouse xenograft models | justification: Dataset involves in vitro cell lines and mouse xenograft disease models",No | evidence: No case/control grouping reported; experimental design compares cell interactions | justification: Study is not a clinical case/control design,No | evidence: No brain regions sampled | justification: Brain region criterion not applicable; no CNS tissues were profiled,No | evidence: Technology: transcription profiling by array (Affymetrix microarrays) | justification: Microarray technology is compatible,"justification: Dataset fails target disease (ALS-FTD), relevant tissue (CNS), and clinical case/control criteria; uses non-clinical cell models",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Uses NanoString nCounter miRNA expression assay, not microarray chips | justification: Technology is a targeted digital hybridization platform rather than a microarray","No | evidence: Samples from sporadic ALS, multiple sclerosis, and healthy controls; no FTD component | justification: ALS only, no frontotemporal dementia included",No | evidence: Source samples are peripheral blood CD14+CD16- monocytes | justification: No CNS or brain tissue profiled,No | evidence: Human monocytes were FACS sorted ex vivo from patient blood | justification: No cell lines or in vitro disease models used for human data,"Yes | evidence: Comparisons among sporadic ALS, MS, and healthy controls | justification: Study includes disease vs healthy control groups",No | evidence: No brain tissue sampled | justification: Criterion applies only when brain regions are profiled; here none are,Yes | evidence: NanoString nCounter platform used instead of a microarray | justification: Technology is not microarray expression profiling,"justification: Exclusion due to non–microarray technology, peripheral blood samples rather than CNS tissue, and lack of FTD component",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Platform: human microRNA Microarray Kit Agilent | justification: The assay uses Agilent microRNA microarrays to profile RNA from human tissue.,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Description: analysis of thyroid carcinoma tissue | justification: The study focuses on medullary thyroid carcinoma, not ALS-FTD.","No | evidence: Source Characteristics: Organism part: thyroid | justification: Samples are from thyroid gland, not CNS tissue.","No | evidence: Description: matched tumor and adjacent normal tissue from patients | justification: Uses primary patient tissue, not in vitro cell lines or disease models.",Yes | evidence: Description: matched tumor and adjacent normal tissue | justification: Tumor samples are compared to matched adjacent normal controls.,Yes | evidence: Source Characteristics: Organism part: thyroid | justification: Thyroid is not a CNS region affected by ALS-FTD.,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Technology is microarray, which is compatible with requirements.","justification: Although the dataset uses human microarray profiling with a case/control design, the disease context is thyroid carcinoma and the tissue is non-CNS, so it does not meet the ALS-FTD criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: The dataset uses human RNA assayed on microarrays for expression profiling.,"Yes | evidence: Title: Gene expression analysis of ALS skeletal muscle; Description: molecular mechanisms involved in the ALS related atrophy process | justification: The study focuses on amyotrophic lateral sclerosis (ALS), part of the ALS-FTD disease spectrum.","No | evidence: Organism part: deltoid, quadriceps | justification: Samples are from skeletal muscle, not CNS tissue.","No | evidence: Description: muscle biopsies; Cell type/line: Not found | justification: The dataset uses patient tissue biopsies, not in vitro cell lines or disease models.",Unclear | evidence: Experimental Factors include DISEASE STATUS but no explicit control group description | justification: A disease status factor is present but control sample details are not specified.,"Yes | evidence: Organism part: deltoid, quadriceps | justification: Tissues sampled are skeletal muscles, not brain regions affected in ALS-FTD.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses compatible microarray-based expression profiling.,"justification: Despite being human ALS microarray data, the study samples skeletal muscle rather than CNS regions, violating tissue relevance criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: The experiment uses human samples and gene expression was measured by microarray.,"No | evidence: Disease: Not found; study describes vaccine response in dendritic cells, no mention of ALS or FTD | justification: The dataset focuses on vaccine-induced transcriptional changes, not ALS-FTD.","No | evidence: Organism part: Not found; cell types are monocytes and monocyte-derived dendritic cells | justification: Samples are in vitro immune cells, not CNS tissue.","Yes | evidence: Description: monocyte-derived dendritic cells (moDCs) and monocytes stimulated in vitro | justification: The study uses human primary cells cultured and stimulated in vitro, not clinical tissue samples.","No | evidence: Experimental Designs: Not found; factors: concentration, culture conditions, cell population, donor id | justification: The study design is stimulation vs control in vitro, not a case/control disease cohort.",No | evidence: No CNS tissue sampled | justification: No brain regions are involved in this dataset.,"No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The platform is microarray, which is compatible.","justification: Fails multiple criteria: not ALS-FTD related, uses in vitro immune cells rather than CNS tissue, and lacks a patient case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses microarray‐based transcription profiling of RNA,No | evidence: Title & description focus on B-cell development; no mention of ALS or FTD | justification: Dataset does not involve amyotrophic lateral sclerosis or frontotemporal dementia,"No | evidence: Cells purified from human bone marrow; no CNS or brain tissue described | justification: Samples are hematopoietic B cells, not from human CNS","No | evidence: Primary cells sorted by FACS from bone marrow; not established cell lines or in vitro disease model | justification: Uses primary B cells, not patient‐derived cell lines or experimental disease models","No | evidence: Study compares four developmental stages of B cells; no case/control disease grouping | justification: Design is developmental time‐course, not case vs. control","Yes | evidence: Samples are from bone marrow, not any brain region | justification: Tissue source is irrelevant to ALS-FTD neurodegeneration",No | evidence: Technology: Array assay | justification: Microarray expression profiling is compatible,"justification: Although it meets the microarray criterion, it does not target ALS-FTD, uses non-CNS tissue, and lacks a case/control design. It fails key inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-47554,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Molecule: RNA assay | justification: Dataset uses mRNA microarrays for expression profiling,"No | evidence: Title and description describe gastric carcinoma metastasis; no mention of ALS or FTD | justification: Disease focus is gastric cancer, not ALS-FTD",No | evidence: Samples are xenografted tumors in stomach and ovary; no CNS tissues mentioned | justification: No human brain/CNS tissue sampled,Yes | evidence: Description describes an in vivo orthotopic mouse model with xenografted human gastric carcinoma cells | justification: Involves a disease model using patient-derived cell lines in mice,No | evidence: No healthy control group; samples represent different xenograft tumor stages | justification: Study design is not a case/control comparison,No | evidence: No brain regions sampled | justification: Irrelevant since no CNS tissue is involved,No | evidence: Technology: Array assay; transcription profiling by array | justification: Microarray expression profiling is compatible with inclusion criteria,"justification: Fails key criteria: not ALS-FTD, not CNS tissue, and uses a mouse cancer model",No,No,False,,,,,,,,,
