model,version,trial,split,input_tokens,output_tokens,input_cost,output_cost,total_cost
GPT-4.1-mini,v1,,prompt-set,67510,21046,0.0135,0.0168,0.0303
GPT-4.1-mini,v2,,prompt-set,82762,28212,0.0166,0.0226,0.0391
GPT-4.1-mini,v2,,test-set,179775,61001,0.036,0.0488,0.0848
GPT-4o-mini,v1,,prompt-set,67510,19169,0.0051,0.0058,0.0108
GPT-4o-mini,v2,,prompt-set,82762,25276,0.0062,0.0076,0.0138
GPT-4o-mini,v2,,test-set,179775,54086,0.0135,0.0162,0.0297
GPT-5-mini,v1,,prompt-set,67018,68167,0.0084,0.0682,0.0765
GPT-5-mini,v2,seed43,test-set,178719,190891,0.0223,0.1909,0.2132
GPT-5-mini,v2,seed44,test-set,178719,189260,0.0223,0.1893,0.2116
GPT-5-mini,v2,seed45,test-set,178719,188898,0.0223,0.1889,0.2112
GPT-5-mini,v2,seed46,test-set,178719,186810,0.0223,0.1868,0.2091
GPT-5-mini,v2,seed47,test-set,178719,191179,0.0223,0.1912,0.2135
GPT-5-mini,v2,seed48,test-set,178719,191225,0.0223,0.1912,0.2136
GPT-5-mini,v2,seed49,test-set,178719,188137,0.0223,0.1881,0.2105
GPT-5-mini,v2,seed50,test-set,178719,188183,0.0223,0.1882,0.2105
GPT-5-mini,v2,seed51,test-set,178719,183897,0.0223,0.1839,0.2062
GPT-5-mini,v2,,prompt-set,82270,85707,0.0103,0.0857,0.096
GPT-5-mini,v2,,test-set,178719,186705,0.0223,0.1867,0.209
o4-mini,v1,,prompt-set,67018,60307,0.0369,0.1327,0.1695
o4-mini,v2,seed43,test-set,178719,159898,0.0983,0.3518,0.4501
o4-mini,v2,seed44,test-set,178719,155217,0.0983,0.3415,0.4398
o4-mini,v2,seed45,test-set,178719,151003,0.0983,0.3322,0.4305
o4-mini,v2,seed46,test-set,178719,157123,0.0983,0.3457,0.444
o4-mini,v2,seed47,test-set,178719,157252,0.0983,0.346,0.4442
o4-mini,v2,seed48,test-set,178719,163369,0.0983,0.3594,0.4577
o4-mini,v2,seed49,test-set,178719,157152,0.0983,0.3457,0.444
o4-mini,v2,seed50,test-set,178719,154813,0.0983,0.3406,0.4389
o4-mini,v2,seed51,test-set,178719,155597,0.0983,0.3423,0.4406
o4-mini,v2,,prompt-set,82270,74051,0.0452,0.1629,0.2082
o4-mini,v2,,test-set,178719,162960,0.0983,0.3585,0.4568
