custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips | justification: Uses human microarray (Affymetrix U133A) for transcription profiling,"No | evidence: Title and description focus on coronary artery disease (CAD), not ALS-FTD | justification: Dataset investigates CAD, not amyotrophic lateral sclerosis or frontotemporal dementia","No | evidence: Description: gene expression profile in circulating leukocytes | justification: Samples derived from peripheral blood, not CNS tissue","No | evidence: Samples from patients undergoing coronary angiography | justification: Uses primary patient blood samples, not in vitro cell lines or models",Yes | evidence: 110 patients with CAD (CADi>23) and 112 matched controls (CADi=0) | justification: Parallel group case/control design comparing CAD patients vs controls,No | evidence: No brain regions sampled; only blood leukocytes | justification: Not applicable—samples are not from any brain region,No | evidence: Technology: Array assay; RNA assay | justification: All data generated by microarray expression profiling,"justification: Although the study uses human microarrays and a case/control design, it targets coronary artery disease with peripheral blood samples, not ALS-FTD or CNS tissue",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix Human U133 Plus 2.0 GeneChip hybridization | justification: Uses human microarray expression profiling,"No | evidence: Title and description focus on cryptorchidism and fertility; Disease field: Not found | justification: Dataset studies cryptorchidism, not ALS-FTD","No | evidence: Organism part: total testicular; RNA isolated from testicular biopsies | justification: Tissue source is testis, not CNS","No | evidence: Samples derived directly from patient biopsies, not cell culture or model systems | justification: Clinical testicular biopsies, not in vitro lines or disease models",Yes | evidence: Samples from cryptorchid boys and age‐matched controls | justification: Comparison between affected patients and controls,"Yes | evidence: Tissue source is testis, not any brain region | justification: No CNS or brain region sampled",No | evidence: Affymetrix microarray platform (U133 Plus 2.0) | justification: Technology is compatible (microarray),"justification: Although this is human microarray data with a case/control design, it profiles testicular tissue in cryptorchidism, not ALS‐FTD nor CNS tissue, so it fails key disease and tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Whole-genome expression measured on microarray platform,"Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: Study models the SOD1 mutation that causes ALS, part of the ALS-FTD spectrum","No | evidence: Cell type/line: neuroblastoma SH-SY5Y | justification: Samples derive from an in vitro cell line, not human CNS tissue",Yes | evidence: SH-SY5Y cells stably transfected with SOD1WT or SOD1(G93A) | justification: Study uses patient-derived in vitro cell line model rather than clinical tissue,"No | evidence: Five wt SOD vs five mutant SOD in cell line | justification: Comparison is between engineered cell-line groups, not clinical case/control design",No | evidence: No brain tissue sampled | justification: Study uses only a neuroblastoma cell line,No | evidence: Array assay; RNA assay | justification: Uses compatible microarray expression profiling technology,"justification: Although the study uses human microarray profiling and models an ALS mutation, it is an in vitro cell-line model rather than clinical CNS tissue and lacks a true case/control design; it does not meet inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Study uses DNA-DNA hybridization microarray for bacterial 16S rRNA profiling | justification: This is a microbial community profiling array, not human gene expression profiling","No | evidence: Samples are from periodontitis patients | justification: The study disease is periodontitis, not ALS-FTD","No | evidence: Source material is gingival crevicular fluid | justification: Samples derive from oral fluid, not CNS tissue",No | evidence: Samples are clinical patient fluid samples | justification: No in vitro cell lines or disease models are used,No | evidence: Comparison is between GCF and subgingival plaque samples | justification: There is no ALS/healthy control group design,"Yes | evidence: Samples are from gingival crevicular fluid, not brain | justification: Study does not involve any CNS region",No | evidence: Technology is microarray-based | justification: Microarray profiling is compatible with inclusion criteria,"justification: Dataset is microbial profiling of gingival fluid in periodontitis, not human CNS microarray in ALS-FTD case/control",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay using Affymetrix microarrays. | justification: The study uses Affymetrix microarray technology to profile gene expression in human colon cancer cells.,No | evidence: Description focuses on mouse ileum/colon myofibroblasts and human colon cancer cells; no mention of ALS or FTD. | justification: The dataset is about colon cancer xenografts and not related to amyotrophic lateral sclerosis or frontotemporal dementia.,No | evidence: Samples are from mouse ileum/colon and human colon cancer cells; no CNS or brain tissue is involved. | justification: No human brain or CNS tissue was profiled in this study.,"Yes | evidence: Samples include cultured mouse fibroblasts and human colon cancer cell lines (T84, Caco2) grown in xenografts. | justification: The dataset uses in vitro cell lines and a mouse xenograft disease model rather than clinical patient tissue.",No | evidence: No case/control groups are described; the design is experimental cell/xenograft comparison. | justification: The study does not compare patient cases vs. controls but compares cell types and conditions.,"No | evidence: No brain or CNS regions are sampled; tissues are gut and cancer cells. | justification: Since no brain regions are profiled, there are no irrelevant CNS regions involved.","No | evidence: Uses microarray-based transcription profiling (Affymetrix arrays), not RNA-seq or proteomics. | justification: Technology is compatible with the inclusion criteria for microarray expression profiling.","justification: The dataset does not pertain to ALS-FTD or involve human CNS tissue; it uses non-clinical cell lines and a mouse xenograft model on gut tissues, so it fails key inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: NanoString nCounter miRNA expression assay | justification: Uses NanoString digital counting technology, not microarray expression profiling.",Yes | evidence: Samples include Sporadic amyotrophic lateral sclerosis (SALS) subjects | justification: Dataset includes monocytes from ALS patients.,"No | evidence: Cell type: CD14+CD16- monocytes from peripheral blood | justification: Samples are blood-derived monocytes, not CNS tissue.","No | evidence: Primary human blood monocytes, no cell lines or animal models used | justification: Ex vivo sorted monocytes from human donors, not in vitro cell lines or disease models.","Yes | evidence: Subjects: SALS, MS, and healthy controls | justification: Study compares disease groups against healthy controls.",Yes | evidence: Organism part: peripheral blood monocytes | justification: No brain/CNS regions sampled; blood monocytes are not relevant to CNS pathology sites.,Yes | evidence: NanoString nCounter miRNA expression assay | justification: NanoString miRNA profiling is not microarray expression profiling.,"justification: Excluded: uses non-microarray technology (NanoString), samples peripheral blood monocytes not CNS tissue, and no relevant brain region data.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The study uses Agilent human microRNA microarray for expression profiling in patient tissues.,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma | justification: The study focuses on medullary thyroid carcinoma, not ALS-FTD.","No | evidence: Source Characteristics: Organism part: thyroid | justification: Samples are from thyroid tissue, not a brain/CNS region.","No | evidence: Sample source: matched tumor and adjacent normal tissue from patients | justification: All samples are clinical tissue specimens, no cell lines or models used.",Yes | evidence: Matched tumor and adjacent normal tissue obtained from patients | justification: The design compares tumor (case) versus adjacent normal (control) tissues.,"Yes | evidence: Organism part: thyroid | justification: The tissue is thyroid, which is not a CNS region relevant to ALS-FTD.","No | evidence: Technology: Array assay | justification: The assay uses microarray technology, which is compatible with expression profiling inclusion criteria.","justification: Although the study uses human microarray profiling and has a case/control design, it investigates thyroid carcinoma tissue rather than CNS tissue and is unrelated to ALS-FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens | justification: This is a human transcription profiling study performed using microarray technology.,"Yes | evidence: Description: 'focus on the molecular mechanisms involved in the ALS related atrophy process' | justification: The study explicitly investigates amyotrophic lateral sclerosis (ALS), which falls within the ALS-FTD spectrum.","No | evidence: Organism part: deltoid, quadriceps | justification: Samples are skeletal muscle biopsies, not CNS or brain tissue.","No | evidence: Samples derived from muscle biopsies; no cell lines or model systems mentioned | justification: This is direct patient tissue, not an in vitro cell-line or animal model.","Unclear | evidence: Experimental Factors include DISEASE STATUS but no explicit control group or sample assignments provided | justification: While disease status is listed as a factor, details on healthy controls vs. ALS cases are not described.","No | evidence: Organism part: deltoid, quadriceps | justification: No brain regions are sampled; only skeletal muscle is profiled.","No | evidence: Technology: Array assay | justification: The study uses compatible microarray expression profiling, not RNA-seq or proteomics.","justification: Although this is a human microarray ALS study, it uses skeletal muscle rather than CNS tissue, failing the CNS tissue inclusion criterion.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The dataset uses human samples profiled on gene expression microarrays.,"No | evidence: Description makes no mention of ALS, FTD or neurodegeneration; focuses on vaccine‐induced transcription in DCs and monocytes. | justification: The study is about vaccine responses, not ALS-FTD.",No | evidence: Samples are human monocyte-derived DCs and monocytes in vitro; no CNS tissue listed. | justification: No brain or CNS samples were profiled.,"Yes | evidence: Samples are monocyte-derived dendritic cells and monocytes cultured and stimulated in vitro. | justification: The study uses patient-derived immune cells in culture, not clinical tissue samples.","No | evidence: Experimental design describes stimulation conditions (various vaccines, LPS) and no case vs. control groups. | justification: There is no disease vs. healthy control comparison; all samples are stimulated cell cultures.",No | evidence: No brain regions sampled. | justification: Not applicable—no CNS tissues were profiled.,"No | evidence: Technology: Array assay; Assay by molecule: RNA assay. | justification: The dataset uses microarray, which is compatible.","justification: Excluded: not ALS-FTD, no CNS tissue, uses in vitro cell cultures, and lacks case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay (RNA) | justification: The dataset uses microarray-based transcription profiling on human samples.,"No | evidence: No mention of ALS, FTD or related pathology; study focuses on B cell development | justification: The dataset profiles normal B cell stages, not ALS-FTD patients or pathology.","No | evidence: Source material: human bone marrow B cells, not CNS tissue | justification: Samples are peripheral B cells, not brain or CNS regions.","No | evidence: Primary human B cells sorted by FACS from bone marrow, not cell lines or disease models | justification: Uses ex vivo primary cells rather than in vitro cell lines or engineered models.","No | evidence: Design compares B cell developmental stages, not disease vs. control groups | justification: No case/control comparison between diseased and healthy subjects.",Yes | evidence: Samples derived from bone marrow B cells rather than any brain region | justification: Tissue source is not CNS and hence irrelevant to ALS-FTD–affected regions.,No | evidence: Technology: Array assay for RNA | justification: Microarray is compatible with inclusion criteria.,"justification: The dataset does not involve ALS-FTD, CNS tissue, or a case/control design, so it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
