custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Results assessed using Affymetrix U133A chips; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: Human RNA expression was measured using Affymetrix microarrays (U133A) on samples from Homo sapiens, consistent with human microarray expression profiling.","No | evidence: Title and description focus on coronary artery disease (CAD); RNA was extracted from 110 patients with CAD (CADi>23) and 112 controls. | justification: The study investigates gene expression in relation to coronary artery disease, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes' and 'peripheral blood' are specified; Organism part: Not found (samples are blood leukocytes). | justification: Samples are peripheral blood leukocytes, not human brain or CNS tissue.",No | evidence: Description indicates RNA was extracted from patients undergoing coronary angiography (clinical patient samples); no mention of cell lines or disease models. | justification: The dataset uses primary patient blood samples rather than patient-derived in vitro cell lines or experimental disease models.,"Yes | evidence: RNA was extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD; design noted as 'parallel group design'. | justification: The study compares case (CAD) and control (no CAD) groups, consistent with a case/control design.","No | evidence: Samples are circulating leukocytes/peripheral blood rather than any brain region; Organism part not found in sample annotations. | justification: No brain regions are involved, so the question of irrelevant brain regions does not apply; the dataset does not sample brain tissue.","No | evidence: Technology: Array assay; Study type: transcription profiling by array; Affymetrix U133A chips used. | justification: The technology is microarray-based expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although this is a human microarray case/control study, it does not pertain to ALS-FTD and does not include CNS brain tissue—samples are peripheral blood leukocytes and the disease studied is coronary artery disease—so it fails the disease and tissue inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix Human U133 Plus 2.0 GeneChip hybridization; RNA assay. | justification: The study used Affymetrix microarrays (U133 Plus 2.0) for transcription profiling of human RNA, consistent with human microarray expression profiling.","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA was isolated from testicular biopsies of cryptorchid boys. | justification: The study investigates cryptorchidism/fertility in testicular tissue; there is no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Organism part: total testicular; Description: testicular biopsies of cryptorchid boys. | justification: Samples are from human testis (non-CNS), not brain or other CNS tissues.",No | evidence: Description indicates whole testicular tissue biopsies were collected and processed; no cell lines or disease models are described. | justification: The data derive from primary tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Yes | evidence: Description: 'Whole testicular tissue was gained from cryptorchid boys aged 10 Months to 4.5 years as well as from controls of identical age.' | justification: The study includes affected individuals (cryptorchid boys) and age-matched controls, indicating a case/control design.","Yes | evidence: Organism part: total testicular; samples are testicular biopsies. | justification: Samples are from testis, a tissue not implicated in ALS-FTD neurodegeneration; therefore the sampled tissue is irrelevant to ALS-FTD CNS pathology.",No | evidence: Study type: transcription profiling by array; Affymetrix U133 Plus 2.0 GeneChip hybridization; Technology: Array assay. | justification: The platform is microarray-based (compatible); no RNA-seq or proteomics technologies are reported.,"justification: Although this is a human microarray case/control study, it investigates cryptorchidism using testicular tissue rather than ALS-FTD and CNS tissues. It therefore fails the disease (ALS-FTD) and tissue (CNS) inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study is whole-genome transcription profiling using microarray technology on human-derived samples (RNA assay, array).",Yes | evidence: Title: 'Profiling wt SOD versus ALS SOD1(G93A) mutant' — SOD1(G93A) is a well-known ALS-associated mutation. | justification: The comparison of wild-type SOD1 versus SOD1(G93A) mutant specifically targets an ALS-linked genetic model (familial ALS).,No | evidence: Samples: Cell line: neuroblastoma SH-SY5Y; Organism part: Not found; No tissue/brain region specified. | justification: The experiment used the SH-SY5Y neuroblastoma cell line rather than human brain/CNS tissue.,"Yes | evidence: Samples: Cell line: neuroblastoma SH-SY5Y; Title/Description: SH-SY5Y stably transfected with cDNAs coding for SOD1WT or SOD1(G93A). | justification: This is an in vitro, cell-line disease model (transfected SH-SY5Y) rather than patient-derived tissue.","Yes | evidence: Description: 'Five wt SOD versus five mutant SOD'. | justification: The study compares two groups (WT SOD1 controls vs SOD1(G93A) mutants), so it has a case/control-style experimental design.","No | evidence: No brain regions reported; samples are SH-SY5Y cell line. | justification: No brain/CNS regions were sampled, so the question of irrelevant brain regions does not apply.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray-based RNA expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although the dataset is human microarray expression profiling and ALS-relevant (SOD1 G93A), it uses an in vitro neuroblastoma cell line (SH-SY5Y) stably transfected with mutant SOD1 rather than patient-derived human CNS tissue. Per exclusion criterion 4 (patient-derived in vitro cell lines or disease models) and requirement for CNS tissue, this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study uses DNA extraction, PCR amplification of 16S rRNA genes and DNA-DNA hybridization on a microarray to profile bacterial species in gingival crevicular fluid; Assay metadata: Technology: Array assay; Assay by Molecule: RNA assay (but description describes bacterial 16S profiling). | justification: The array targets bacterial 16S sequences / species composition (microbial DNA hybridization), not human transcriptome microarray expression profiling.","No | evidence: Sample metadata: Disease: periodontitis; Title and description focus on gingival crevicular fluid and subgingival microbiota from subjects with periodontal disease. | justification: The study concerns periodontal disease microbiology, not ALS or FTD.","No | evidence: Samples are gingival crevicular fluid (GCF) and subgingival plaque (paper point samples) from oral sites; no CNS/brain regions reported. | justification: Tissue source is oral microbiome material, not human brain or CNS tissue.","No | evidence: Description: microbial profiles analyzed from 17 subjects with periodontal disease; samples are clinical GCF and plaque samples. | justification: The study uses patient clinical samples, not patient-derived in vitro cell lines or experimental disease models.",No | evidence: Experimental designs: Not found; sample metadata indicate only periodontitis patients and comparison between GCF and subgingival plaque from same sites; no healthy control group indicated. | justification: There is no clear case vs healthy control study design relevant to ALS/FTD; comparisons are within oral sample types rather than disease vs control cohorts.,"Yes | evidence: Samples originate from gingival crevicular fluid and subgingival plaque (oral tissues), not brain regions. | justification: Tissues sampled are non-CNS and therefore irrelevant to ALS-FTD neurodegeneration; no brain regions are involved.","No | evidence: Technology listed as Array assay; study used DNA-DNA hybridization microarray for bacterial species detection (not RNA-seq or proteomics). | justification: The platform is a microarray (not RNA-seq/proteomics). However, the assay targets microbial 16S DNA rather than human transcriptome expression, making it irrelevant to human microarray expression profiling for ALS-FTD.","justification: Exclude. The dataset profiles oral microbiota (periodontitis) using a bacterial 16S DNA microarray on GCF/PLAQUE samples, not human brain/CNS transcriptome. It does not pertain to ALS-FTD, lacks relevant CNS tissue, and is not a case/control study relevant to ALS/FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: 'We used Affymetrix microarrays...'; Samples list includes Organism: Homo sapiens and cell lines T84, Caco2. | justification: The study used Affymetrix microarrays for transcription profiling and includes human-derived cancer cells (Caco2, T84) profiled by array.","No | evidence: Title/Description: 'human colon cancer cells', 'mouse ileum or colon', no mention of amyotrophic lateral sclerosis or frontotemporal dementia. | justification: The dataset focuses on colon cancer and intestinal myofibroblasts, not ALS-FTD.","No | evidence: Description: samples isolated from mouse ileum or colon and human colon cancer cells; Organism part: not found (but tissue context clearly intestinal/colonic). | justification: Samples are from ileum/colon and colon cancer cells, not from human brain or CNS tissue.","Yes | evidence: Description: 'isolated myofibroblasts... expanded cells in culture before expression array analysis'; 'isolated human colon cancer cells from xenografts... using flow cytometry to isolate DsRed-expressing Caco2 or T84 cells after 5 weeks of growth in NOD/SCID mice'. | justification: The study uses cultured primary mouse cells, human cancer cell lines (Caco2, T84) and mouse xenograft models—i.e., in vitro cell lines and disease models.","No | evidence: Experimental Designs: Not found; Experimental Factors: CELL LINE, ORGANISM, CELL TYPE; no disease/clinical case versus control groups indicated. | justification: The design compares cell types/organisms and xenograft conditions rather than clinical case/control cohorts.",Yes | evidence: Description and title reference ileum/colon and colon cancer cells; no brain regions sampled. | justification: No CNS/brain tissue sampled; the tissues (intestinal/colon) are not affected by ALS-FTD neurodegeneration.,"No | evidence: Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay; Description: 'We used Affymetrix microarrays'. | justification: The technology is microarray-based RNA expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude: although microarray profiling and human cells are present, the study is about colon cancer and intestinal/myofibroblast biology, not ALS-FTD; samples are non-CNS (ileum/colon) and derive from cell lines/xenograft models rather than clinical CNS tissue; study is not a case/control clinical design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: study used the NanoString nCounter miRNA expression assay to identify and quantitate miRNAs in blood CD14+CD16- monocytes; Organism: Homo sapiens. | justification: The dataset is human and annotated as an array-based transcription profiling experiment (NanoString nCounter miRNA assay), which is a hybridization-based expression platform.","Yes | evidence: Samples: Disease: Sporadic amyotrophic lateral sclerosis (SALS), multiple sclerosis, healthy control; Title references amyotrophic lateral sclerosis. | justification: The study includes samples from sporadic ALS patients, so it pertains to ALS (part of the ALS-FTD disease spectrum).","No | evidence: Title and sample annotations: NanoString miRNA profiling of peripheral blood sorted CD14+CD16- monocytes; Cell type: CD14+CD16- monocytes; Organism part: not found (blood-derived). | justification: Samples are peripheral blood–derived monocytes, not human brain/CNS tissue.","No | evidence: Samples are FACS sorted CD14+CD16- blood-derived monocytes from sporadic ALS, MS and healthy control subjects (patient-derived primary cells), not cell lines or in vitro disease models. | justification: The dataset uses primary patient blood cells ex vivo rather than patient-derived immortalized cell lines or experimental disease models (though the accompanying study discusses a SOD1 mouse model, the dataset itself is human monocyte profiling).","Yes | evidence: Experimental Factors include DISEASE STATE with values: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; Sample count: 24. | justification: The study includes disease groups (SALS, MS) and healthy controls, consistent with a case/control design.","Yes | evidence: Cell type: CD14+CD16- monocytes (peripheral blood); Title specifies peripheral blood monocytes and description discusses blood and splenic monocytes/spinal cord in model but human samples are blood-derived. | justification: Samples are peripheral blood monocytes rather than brain regions; peripheral blood is not a CNS region affected by ALS-FTD neurodegeneration, so it fails the CNS tissue inclusion criterion.","No | evidence: Technology: Array assay; Description: NanoString nCounter miRNA expression assay (hybridization-based RNA assay). | justification: The assay is NanoString nCounter (hybridization-based miRNA profiling), not RNA-seq or proteomics; it is not an excluded technology per the specified incompatible list.","justification: Although the dataset is human, array-based, and includes ALS patients with a case/control design, it should be excluded because the samples are peripheral blood CD14+CD16- monocytes (non-CNS tissue). Additionally, the assay targets miRNAs in blood cells (NanoString), not microarray profiling of human CNS tissue; therefore it does not meet the requirement for samples from relevant CNS regions.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: human microRNA Microarray Kit Agilent used on patient tissues. | justification: Human patient tissues were profiled using Agilent microRNA microarrays (microarray expression profiling of RNA).,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Description: matched tumor and adjacent normal tissues obtained from thyroid of patients. | justification: The study investigates medullary thyroid carcinoma (thyroid cancer), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Experimental Factors > Source Characteristics: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid. | justification: Samples are from thyroid tissue (peripheral endocrine organ), not from human brain or other CNS tissues.","No | evidence: Description: Matched tumor and adjacent normal tissue were obtained from 24–40 patients; samples are frozen tissue from patients. | justification: The dataset uses primary patient tissue samples, not patient-derived in vitro cell lines or disease models.","Yes | evidence: Description: Matched tumor and adjacent normal tissue were obtained and hybridized; matched normal (suffix S) and lesional tissue (suffix L). | justification: The study compares tumor (case) versus adjacent normal tissue (control), a paired case/control design.",Yes | evidence: Organism part: thyroid; all samples described are thyroid tumor and adjacent normal thyroid tissue. | justification: Thyroid is not a CNS region and is not relevant to ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; Description: human microRNA Microarray Kit Agilent; Assay by Molecule: RNA assay. | justification: The study uses microarray technology (miRNA microarrays), which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although this is a human microarray study with a case/control design and uses primary patient tissues, it does not investigate ALS-FTD and uses non-CNS (thyroid) tissue. It therefore fails the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay | justification: Human gene expression profiling performed using microarray (array) on human samples.,Yes | evidence: Title: 'Gene expression analysis of ALS skeletal muscle'; Description: 'Objective: to focus on the molecular mechanisms involved in the ALS related atrophy process...' | justification: Study explicitly targets ALS (amyotrophic lateral sclerosis) according to title and description.,"No | evidence: Organism part: deltoid, quadriceps; Description: gene expression profiling and real time PCR were performed on muscle biopsies | justification: Samples are skeletal muscle biopsies (deltoid, quadriceps), not brain or other CNS tissue.",No | evidence: Description and sample annotations indicate muscle biopsies from Homo sapiens; no cell lines or model systems reported | justification: Data derive from patient tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Unclear | evidence: Experimental Factors list includes 'DISEASE STATUS', but 'Experimental Designs: Not found' and no explicit case/control breakdown in available metadata (Sample count: 14) | justification: Presence of a DISEASE STATUS factor suggests groups may exist, but the metadata do not explicitly state a case vs control design or sample counts per group.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle) | justification: Study samples peripheral skeletal muscle, not CNS/brain regions; these tissues are not CNS regions affected by ALS-FTD neurodegeneration and thus are irrelevant to the requirement for CNS sampling.",No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray technology is compatible with inclusion (not RNA-seq or proteomics).,"justification: Although this is a human microarray study of ALS-related tissue, the samples are skeletal muscle (deltoid, quadriceps) rather than human CNS regions relevant to ALS-FTD. The study therefore fails the requirement to involve CNS tissue relevant to ALS-FTD. Additionally, the case/control design is not clearly documented. Based on inclusion/exclusion criteria, this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: The study used microarray-based transcription profiling on human-derived samples (monocytes and monocyte-derived dendritic cells).,"No | evidence: Title/Description focus on vaccines and dendritic cell/monocyte responses; no mention of ALS, FTD, neurodegeneration or related terms. | justification: The dataset studies vaccine-induced transcriptional responses in immune cells, not ALS-FTD.","No | evidence: Description: experiments performed on monocyte-derived DCs (moDCs) and monocytes in vitro; Organism part: Not found; Samples list immune cell types, not brain/CNS tissue. | justification: All samples are peripheral immune cells cultured in vitro, not human brain or CNS tissue.","Yes | evidence: Description explicitly states monocyte-derived DCs (moDCs) in vitro and monocytes stimulated in culture. | justification: The dataset is an in vitro stimulation experiment using primary human immune cells (cell culture model), which meets the exclusion criterion for patient-derived in vitro or model systems.","No | evidence: Experimental Factors list concentration, culture conditions, cell population, donor id; Disease state/staging: Not found; Experimental designs: Not found. Controls are media-treated samples, not clinical case/control groups. | justification: This is an in vitro stimulation/time-course style experiment rather than a clinical case vs control study of disease vs healthy subjects.",No | evidence: Samples are monocytes and monocyte-derived dendritic cells; no brain regions are sampled or reported. | justification: The dataset does not include any brain regions (relevant or irrelevant); it uses peripheral immune cells.,"No | evidence: Technology: Array assay; Study type: transcription profiling by array. | justification: The assay is microarray-based, which is compatible with the included technology criteria.","justification: Exclude. Although this is human microarray expression data, it does not relate to ALS-FTD, does not use CNS tissue, is an in vitro immune cell stimulation model, and is not a clinical case/control study. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA; Organism: Homo sapiens. | justification: The experiment is RNA transcription profiling performed on human samples using microarray technology.,No | evidence: Title and description describe B cell development from human bone marrow; Disease field: not found; no mention of ALS or FTD. | justification: The study focuses on B cell developmental stages and contains no indication it pertains to ALS or FTD.,"No | evidence: Description: Cells ... were purified by FACS from human bone marrow samples; Sample source: bone marrow B cells. | justification: Samples are peripheral/hematopoietic (bone marrow B cells), not brain or CNS tissue.",No | evidence: Description indicates primary cells purified by FACS from human bone marrow; no mention of immortalized cell lines or disease models. | justification: This uses primary sorted B cells rather than patient-derived in vitro cell lines or experimental disease models.,"No | evidence: Experimental design: cells sorted into developmental stages; Experimental Factors: not found; Disease state/staging: not found. | justification: The design compares B cell developmental stages, not a case versus control disease cohort.",Yes | evidence: Samples originate from human bone marrow B cells (no brain regions sampled). | justification: No CNS regions are sampled; tissues are irrelevant to ALS-FTD neurodegeneration.,"No | evidence: Technology listed as Array assay; Assay by Molecule: RNA; Study type: transcription profiling by array. | justification: The dataset uses microarray-based transcription profiling, which is compatible with inclusion criteria.","justification: Although the dataset is human and uses microarray transcription profiling (meets criterion 1 and compatible technology), it does not concern ALS-FTD (fails criterion 2) and does not include CNS tissue (fails criterion 3). It is not a case/control disease study. Therefore it should be excluded.",No,No,False,,,,,,,,,
