Model,Version,Split,Trials,Sensitivity,Specificity,Precision,Accuracy,F1 Score,TP,FP,TN,FN
GPT-4o-mini,v1,prompt-set,1,0.714,0.920,0.455,0.902,0.556,5,6,69,2
GPT-4o-mini,v2,prompt-set,1,1,0.933,0.583,0.939,0.737,7,5,70,0
GPT-4o-mini,v2,test-set,1,0.800,0.932,0.522,0.920,0.632,12,11,150,3
GPT-4.1-mini,v1,prompt-set,1,0.429,1,1,0.951,0.600,3,0,75,4
GPT-4.1-mini,v2,prompt-set,1,0.857,0.893,0.429,0.890,0.571,6,8,67,1
GPT-4.1-mini,v2,test-set,1,0.933,0.901,0.467,0.903,0.622,14,16,145,1
GPT-5-mini,v1,prompt-set,1,0.857,0.973,0.750,0.963,0.800,6,2,73,1
GPT-5-mini,v2,prompt-set,1,1,0.947,0.636,0.951,0.778,7,4,71,0
GPT-5-mini,v2,test-set,10,"0.933
(0.867-0.933)","0.904
(0.894-0.919)","0.467
(0.448-0.519)","0.903
(0.898-0.920)","0.622
(0.591-0.667)","14
(13-14)","15.5
(13-17)","145.5
(144-148)","1
(1-2)"
o4-mini,v1,prompt-set,1,0.857,0.987,0.857,0.976,0.857,6,1,74,1
o4-mini,v2,prompt-set,1,0.857,0.960,0.667,0.951,0.750,6,3,72,1
o4-mini,v2,test-set,10,"0.800
(0.667-0.800)","0.944
(0.938-0.963)","0.571
(0.500-0.667)","0.932
(0.915-0.949)","0.667
(0.571-0.727)","12
(10-12)","9
(6-10)","152
(151-155)","3
(3-5)"
Ensemble,v1,prompt-set,1,0.857,0.920,0.500,0.915,0.632,6,6,69,1
Ensemble,v2,prompt-set,1,1,0.840,0.368,0.854,0.538,7,12,63,0
Ensemble,v2,test-set,10,"0.933
(0.867-1)","0.897
(0.851-0.913)","0.452
(0.385-0.517)","0.898
(0.864-0.920)","0.609
(0.556-0.682)","14
(13-15)","16.5
(14-24)","144.5
(137-147)","1
(0-2)"
