custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: 'Gene expression... assessed using Affymetrix U133A chips'; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used Affymetrix U133A microarrays to profile RNA from human samples, consistent with human microarray expression profiling.","No | evidence: Title and Description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; Experimental Factors: CADI; Samples: RNA extracted from 110 patients with CAD and 112 controls. | justification: The disease studied is coronary artery disease (CAD), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes' (peripheral blood); Samples/Source Characteristics list Organism: Homo sapiens but Organism part not found; Experimental context explicitly states leukocytes. | justification: Samples are peripheral blood leukocytes, not human brain/CNS tissue.","No | evidence: Description: RNA was extracted from patients undergoing coronary angiography (110 patients with CAD and 112 controls); no mention of cell lines or experimental disease models. | justification: Samples derive from primary patient blood, not patient-derived in vitro cell lines or modeled systems.","Yes | evidence: Description: RNA was extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); Study design listed as 'parallel group design'. | justification: The study compares cases (CAD) versus matched controls (no CAD), i.e., a case/control design.",Yes | evidence: Samples are circulating leukocytes/peripheral blood (Description); no brain regions sampled. | justification: The dataset does not sample any brain regions; peripheral blood is not a CNS region affected by ALS-FTD.,No | evidence: Study used Affymetrix U133A microarrays; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray-based and therefore compatible with the microarray expression profiling inclusion criterion.,"justification: Although the dataset is human and microarray-based and uses a case/control design, it studies coronary artery disease using peripheral blood leukocytes rather than ALS-FTD or CNS tissues. It therefore fails the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; description mentions Affymetrix human U133 plus 2.0 GeneChip hybridization; Assay by Molecule: RNA assay. | justification: Human RNA from tissue was profiled using Affymetrix microarrays (U133 Plus 2.0), so this is human microarray expression profiling.","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA isolated from testicular biopsies of cryptorchid boys; 'Disease' field: Not found. | justification: Study concerns cryptorchidism/fertility in boys, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Samples: Organism part: total testicular; Description: whole testicular tissue from cryptorchid boys and controls. | justification: Tissue sampled is testis (peripheral reproductive tissue), not brain or other CNS tissue.","No | evidence: Description: whole testicular biopsies collected from patients; Samples/attributes do not list cell lines or in vitro models. | justification: Data derive from patient tissue biopsies, not patient-derived in vitro cell lines or experimental disease models.","Yes | evidence: Description: 'Whole testicular tissue was gained from cryptorchid boys aged 10 Months to 4.5 years as well as from controls of identical age.' | justification: The study includes patient (cryptorchid) samples and matched control samples, indicating a case/control comparative design.","Yes | evidence: Organism part: total testicular; all samples are testicular biopsies (no brain regions sampled). | justification: No brain/CNS regions are sampled; testis is not a region affected by ALS-FTD neurodegeneration, so sampled tissue is irrelevant to ALS-FTD.",No | evidence: Study type: transcription profiling by array; Affymetrix U133 Plus 2.0 GeneChip hybridization; Technology: Array assay. | justification: The platform is microarray-based expression profiling (compatible); no RNA-seq or proteomics technologies reported.,"justification: Although the dataset is human microarray expression profiling with a case/control design, it does not pertain to ALS-FTD and does not use CNS tissue (samples are testicular biopsies). Therefore it fails the disease and tissue inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: Whole-genome expression profiling was performed using microarray on human-derived material (SH-SY5Y cells), so this is human microarray expression profiling.","Yes | evidence: Title: 'Profiling wt SOD versus ALS SOD1(G93A) mutant'. | justification: The study compares wild-type SOD1 to the ALS-associated SOD1(G93A) mutant, indicating the work pertains to ALS-related biology.","No | evidence: Sample attribute: Cell line: neuroblastoma SH-SY5Y; Organism part: Not found; no brain/CNS tissue indicated. | justification: Samples are from a human neuroblastoma cell line, not from human brain or CNS tissue.","Yes | evidence: Description: 'SH-SY5Y stably transfected with cDNAs coding for SOD1WT or the mutant SOD1(G93A) protein'; Sample attribute: Cell line: neuroblastoma SH-SY5Y. | justification: This is an in vitro disease model using a stably transfected human cell line (not patient-derived tissue), so it meets the exclusion criterion for non-clinical models.","Yes | evidence: Description: 'Five wt SOD versus five mutant SOD'. | justification: The experiment compares two groups (WT SOD1 vs mutant SOD1) with n=5 per group, constituting a case/control-style comparison, albeit in a cell line model rather than clinical cases and controls.",No | evidence: No organism part or brain region information provided; samples are a cell line (SH-SY5Y). | justification: No brain regions are sampled; the question of irrelevant brain regions does not apply.,No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The dataset uses microarray technology (compatible); it is not RNA-seq or proteomics.,"justification: Although the dataset is human and uses microarray expression profiling and pertains to ALS biology (SOD1 G93A), it is an in vitro disease model performed in the SH-SY5Y neuroblastoma cell line rather than human CNS tissue or clinical case/control samples. Per exclusion criteria (patient-derived in vitro models/disease models), this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study description: 16S rRNA genes PCR amplified and DNA-DNA hybridization performed using a microarray for over 300 bacterial species; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The microarray is a microbial species detection (16S/DNA-DNA hybridization) array for bacteria in gingival fluid, not a human gene-expression microarray profiling human transcripts.",No | evidence: Samples: Disease state: periodontitis; Description: 'analyzed from 17 subjects with periodontal disease'. Title and description focus on periodontal/gingival microbiota. | justification: The study investigates periodontitis/gingival microbiota and does not pertain to amyotrophic lateral sclerosis or frontotemporal dementia.,"No | evidence: Description and samples: gingival crevicular fluid (GCF) and subgingival plaque (PP) from periodontal sites; Organism: Homo sapiens; Organism part not brain/CNS. | justification: Samples are oral (gingival/subgingival) fluids and plaque, not human brain or CNS tissue.",No | evidence: Description: samples taken from patients (GCF and PP) and analyzed; no cell lines or in vitro disease models mentioned. | justification: Study uses clinical patient samples rather than patient-derived cell lines or experimental disease models.,No | evidence: Experimental Designs: Not found; Description compares GCF and PP samples from periodontitis patients; Sample count: 34 from 17 subjects with periodontal disease. | justification: There is no case versus healthy control design reported; comparisons are between sample types within diseased subjects.,"Yes | evidence: Samples: gingival crevicular fluid and subgingival plaque (oral tissues), no brain regions sampled. | justification: The dataset does not sample any brain/CNS region and therefore does not involve regions relevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Description: DNA-DNA hybridization microarray for bacterial species. | justification: The platform is a microarray (not RNA-seq or proteomics); however, it is a microbial species detection array rather than a human expression profiling microarray.","justification: Exclude: the dataset is a bacterial 16S/DNA-hybridization microarray study of gingival crevicular fluid in periodontitis patients, not human gene-expression profiling of CNS tissue, not related to ALS-FTD, and not a case/control brain-tissue transcriptomics study.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Samples include Mus musculus and Homo sapiens; study profiles mouse ileal/colonic myofibroblasts and human colon cancer cell lines (Caco2, T84) using Affymetrix microarrays. | justification: Although microarrays were used and some human cancer cell lines were profiled, the dataset is not a human clinical microarray study of primary human tissues relevant to ALS-FTD.","No | evidence: Description and sample annotations refer to mouse myofibroblasts and human colon cancer cells; no mention of ALS, FTD, or neurodegenerative disease. | justification: The study focuses on intestinal/myofibroblast–colon cancer interactions, not ALS-FTD.","No | evidence: Organism parts and cell types listed are ileum, colon, subepithelial myofibroblasts, and colon cancer cells; no brain or CNS tissue reported. | justification: All samples derive from intestinal tissue or cell lines, not human CNS/brain.","Yes | evidence: Samples are cultured mouse fibroblasts and human colon cancer cell lines (Caco2, T84); human cancer cells isolated from mouse xenografts (NOD/SCID). | justification: Study uses in vitro–expanded cells and an animal xenograft model (non-clinical, model systems), which meets exclusion criterion for patient-derived in vitro lines/models.",No | evidence: Experimental design not listed as case/control; sample metadata indicate cell lines and organ origin (ileum vs colon) rather than case vs control clinical groups. | justification: No case/control clinical comparison is described.,"Yes | evidence: Tissues sampled are ileum and colon (intestinal), not brain regions. | justification: Dataset does not involve any brain regions; sampled tissues are irrelevant to ALS-FTD neurodegeneration.","No | evidence: Technology listed: Array assay; Assay by Molecule: RNA; study used Affymetrix microarrays. | justification: The assay is microarray-based RNA profiling, which is compatible with inclusion only if other criteria were met.","justification: Exclude. The dataset is not about ALS-FTD, does not include human CNS tissue, and uses cell lines/xenograft model rather than clinical case/control samples. Although microarray technology was used, multiple exclusion criteria apply.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Description: 'used the NanoString nCounter hybridization system and nCounter miRNA expression assays to identify and quantitate miRNAs in blood CD14+CD16- monocytes' ; Study type: transcription profiling by array, Technology: Array assay, Assay by Molecule: RNA assay. | justification: Although labeled as 'array' in metadata, the assay is NanoString nCounter miRNA profiling (targeted digital hybridization), not a genome-wide microarray expression profiling platform.","Yes | evidence: Samples: Disease state includes 'Sporadic amyotrophic lateral sclerosis (SALS)' (n=8) alongside MS and healthy controls; Description discusses human ALS subjects. | justification: The dataset includes human sporadic ALS cases and explicitly compares ALS subjects to controls, so it pertains to ALS (part of the ALS-FTD disease spectrum).","No | evidence: Cell type attribute: 'CD14+CD16- monocytes'; Description: 'blood CD14+CD16- monocytes from ALS, MS and HC subjects' and 'Total RNA was isolated from FACS sorted CD14+CD16- blood-derived monocytes'. | justification: Samples are peripheral blood-derived monocytes, not human brain or CNS tissue.","No | evidence: Samples derived from FACS-sorted peripheral blood monocytes from human subjects (SALS, MS, HC); Description mentions SOD1 mouse model in background but the human data are primary blood cells. | justification: The human samples are primary patient-derived blood cells, not in vitro cell lines or disease model samples; presence of animal model in background does not make the dataset a model dataset.","Yes | evidence: Experimental Factors and Source Characteristics list disease states: 'Sporadic amyotrophic lateral sclerosis (SALS)', 'multiple sclerosis', 'healthy control' with sample counts: SALS (n=8), MS (n=8), HC (n=8). | justification: The study includes case groups (ALS) and healthy control group permitting case/control comparisons.","No | evidence: Organism part and Cell type indicate blood monocytes; no brain regions or CNS tissue sampled. | justification: No brain regions were sampled, so exclusion for irrelevant brain region is not applicable.",Yes | evidence: Description: 'NanoString nCounter hybridization system and nCounter miRNA expression assays' used to profile miRNAs. | justification: NanoString miRNA profiling is a targeted digital hybridization platform and not a microarray expression profiling technology; the dataset is miRNA-targeted and thus incompatible with the microarray-based transcriptome profiling inclusion requirement.,"justification: Although the dataset is human and includes ALS cases with a case/control design, it should be excluded because samples are peripheral blood monocytes (not CNS tissue) and the assay is NanoString miRNA profiling (not microarray whole-transcript profiling). It therefore fails the microarray technology requirement and the CNS tissue requirement.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: human microRNA Microarray Kit Agilent used on patient tissues. | justification: The experiment is human microarray-based expression profiling (miRNA microarray) on patient tissue samples.,"No | evidence: Title and Description: 'MiRNA expression profiling in human medullary thyroid carcinoma' — study investigates medullary thyroid carcinoma. | justification: The disease studied is thyroid cancer (medullary carcinoma), not ALS-FTD.","No | evidence: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid of patients. | justification: Samples are from thyroid tissue, not brain or other CNS regions.",No | evidence: Description: matched tumor and adjacent normal frozen tissues obtained from patients; no mention of cell lines or in vitro models. | justification: The study used ex vivo patient tissue specimens rather than patient-derived cell lines or disease models.,Yes | evidence: Description: Matched tumor and adjacent normal tissue were obtained and hybridized; lesion (L) and normal (S) samples noted. | justification: The design includes paired cases (tumor) and controls (adjacent normal) enabling case/control comparisons.,"Yes | evidence: Organism part: thyroid; no CNS tissues listed in samples. | justification: Samples are from thyroid, an organ not affected by ALS-FTD neurodegeneration, so tissue is irrelevant to ALS-FTD CNS pathology.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Description: miRNA Microarray Kit Agilent. | justification: The study used microarray technology (miRNA arrays), which is compatible with the inclusion requirement for microarray expression profiling.","justification: Although this is a human microarray study with a case/control design, it investigates medullary thyroid carcinoma using thyroid tissue, not ALS-FTD or CNS tissue. Therefore it does not meet the disease- and tissue-specific inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens; Title/Description: 'Gene expression analysis of ALS skeletal muscle' and 'gene expression profiling and real time PCR were performed on muscle biopsies'. | justification: The dataset uses microarray-based transcription profiling of human RNA from tissue biopsies.,Yes | evidence: Title: 'Gene expression analysis of ALS skeletal muscle'; Description: 'Objective: to focus on the molecular mechanisms involved in the ALS related atrophy process...'. | justification: The study explicitly investigates ALS; ALS lies within the ALS-FTD disease spectrum and thus pertains to the target disease area.,"No | evidence: Experimental Factors > Source Characteristics: Organism part: deltoid, quadriceps; Description: muscle biopsies. | justification: Samples are skeletal muscle (deltoid, quadriceps), not brain or other CNS tissue.","No | evidence: Description and sample metadata indicate muscle biopsies from Homo sapiens; no cell lines or model systems reported. | justification: Material appears to be primary patient tissue (biopsies), not patient-derived in vitro cell lines or disease models.","Unclear | evidence: Experimental Factors include DISEASE STATUS, but 'Experimental Designs' not found and no explicit case/control breakdown provided in the metadata. | justification: Disease status is recorded as a factor suggesting case/control groups may exist, but the metadata does not explicitly describe a case versus control design or group counts.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle). | justification: The sampled tissues are peripheral skeletal muscles, not CNS regions significantly affected by ALS-FTD neurodegeneration (e.g., motor cortex, spinal cord, frontal/temporal cortex). Per inclusion criteria, CNS tissue is required.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Study type: transcription profiling by array. | justification: The study uses microarray technology, which is compatible with the inclusion criteria.","justification: Although this is a human microarray study of ALS and therefore disease-relevant, all samples are skeletal muscle biopsies (deltoid, quadriceps), not CNS tissues. Inclusion criteria require CNS regions relevant to ALS-FTD; thus the dataset should be excluded despite meeting other criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens; Sample count: 128. | justification: The study uses human RNA profiled on microarrays (transcription profiling by array), indicating human microarray expression profiling.","No | evidence: Description and sample annotations: no mention of ALS, FTD, neurodegeneration or related disease; Disease: Not found. | justification: The study examines vaccine responses in monocytes/DCs and does not pertain to ALS-FTD.","No | evidence: Description: monocyte-derived DCs (moDCs) and monocytes stimulated in vitro; Experimental Factors: cell population, culture conditions; Organism part: Not found. | justification: Samples are peripheral immune cells (monocytes and in vitro differentiated DCs), not human brain or CNS tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro' and 'response of monocytes and moDCs to 14 commercially available vaccines'; Experimental Factors include culture conditions and cell population. | justification: The dataset contains patient/donor-derived cells studied in vitro (stimulated monocytes/moDCs), meeting the exclusion criterion for in vitro cell models.","No | evidence: Experimental Designs: Not found; Description: comparisons are between vaccine/LPS-stimulated cells and media controls, not disease case vs healthy control groups; Disease: Not found. | justification: The study is an in vitro stimulation experiment rather than a clinical case/control design comparing ALS-FTD cases to controls.","Yes | evidence: Samples are monocytes and IL4 DCs (immune cells); Organism part: Not found; no brain regions listed. | justification: No brain/CNS regions are sampled; the sampled cell types are blood-derived immune cells, which are not CNS regions affected by ALS-FTD.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Study type: transcription profiling by array. | justification: The technology is microarray-based, which is compatible with the inclusion criteria.","justification: Exclude. Although the dataset is human microarray transcription profiling, it does not study ALS-FTD, does not include human CNS tissue, uses in vitro stimulated monocytes/moDCs (excluded cell models), and is not a clinical case/control design. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study used microarray-based transcription profiling on human samples (RNA assay, array technology).","No | evidence: Title and description refer to B cell development from human bone marrow; Disease: Not found; no mention of ALS, FTD, or related terms. | justification: The dataset focuses on B cell development, not on ALS-FTD or related neurodegenerative disease.","No | evidence: Description: Cells were purified from human bone marrow; Organism part: not CNS or brain; sample source is hematopoietic (B cells). | justification: Samples are bone marrow-derived B cells, not brain/CNS tissue.","No | evidence: Description: Cells purified by FACS from human bone marrow samples; sorting of primary CD19+ B cell populations. | justification: These are primary human cells isolated ex vivo, not patient-derived immortalized cell lines or disease models.","No | evidence: Experimental Factors: Not found; Disease state/staging: Not found; design describes developmental stages of B cells rather than case vs control groups. | justification: The study compares B cell developmental stages, not diseased versus control subjects.",No | evidence: Samples are bone marrow B cells; no brain regions sampled or reported. | justification: The dataset does not include any brain regions (neither relevant nor irrelevant to ALS-FTD).,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray expression profiling, which is compatible with inclusion (not RNA-seq/proteomics).","justification: Exclude. Although the dataset is human microarray transcription profiling (meets criterion 1 and technology compatibility), it does not pertain to ALS-FTD (fails criterion 2), does not involve CNS/brain tissue (fails criterion 3), and is not a case/control disease study (fails criterion 5). Therefore it does not meet the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
