custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE189047.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists only cell line samples (e.g., 'Lung cancer cell line A549', treatment column values: vehicle, TGFb, Crizotinib). No fields for survival time or status are present in the provided table. | justification: This dataset contains gene expression from A549 cell line experiments with treatment labels; there are no patient-specific variables for overall or progression-free survival time/status.","No | stage i evidence: Samples are described as 'Lung cancer cell line A549' / 'Non-small cell carcinoma (A549) cell line' — no patient stage annotations. | act evidence: Treatment column lists experimental treatments (vehicle, TGFb, Crizotinib, TGFb_Crizotinib) rather than clinical adjuvant chemotherapy annotation. | justification: The dataset is an in vitro cell line study, so it does not contain patient staging information nor explicit clinical ACT annotations.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: no patient-specific survival time/status variables and no patient-stage (>50% stage I) or clinical ACT annotation. Data are from A549 cell line experiments.,No,False
samples_table_GSE10096.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata describes Kaplan-Meier assessment of metastatic activity in injected mice and cell line replicates (e.g., ""metastatic activity ... was assessed using Kaplan-Meier curves"") but the samples are cell lines/animal experiments (GSM entries) and no patient-specific survival status or time variables (OS/RFS/PFS) are provided. | justification: The dataset contains preclinical cell line and mouse metastasis experiment descriptions, not patient-level clinical survival variables required by the inclusion criteria.","No | stage i evidence: No information on patient tumor stage is present; samples are described as ""Human highly metastatic cell lines derived from Non-Small Cell Lung Carcinoma (NSCLC)"" with bone tropism. | act evidence: No adjuvant chemotherapy (ACT) annotation is present in the metadata. | justification: The dataset is cell-line/animal experimental data without clinical staging or treatment (ACT) annotations, so it cannot meet the >50% Stage I or explicit ACT annotation requirement.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-specific survival status/time variables and contains no clinical stage or adjuvant chemotherapy annotations (samples are cell lines and mouse experiments). Therefore it is not appropriate for inclusion.,No,False
samples_table_GSE27606.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided columns: GPL8179_Group,...,GPL8179_Dx,GPL8179_Stage,GPL8179_Days between sample collection. Sample rows show stage and days between sample collection but no overall survival (OS), progression-free survival (PFS), relapse-free survival (RFS) status or time variables. | justification: Dataset contains paired pre/post surgery PBMC samples with a 'Days between sample collection' field but does not include patient-specific survival status or survival time (OS/PFS/RFS) variables.","Yes | stage i evidence: 11 unique patients (paired pre/post). Stage values per patient: 1A: patients 06,12,15,17 (4 patients); 1B: patients 02,05,18 (3 patients); 3A/3B: patients 03,04,07,14 (4 patients). Total stage I = 7/11 patients (~63.6%). | act evidence: None — no explicit adjuvant chemotherapy annotation present in the provided columns. | justification: More than 50% of patients are Stage I (7 of 11), so the dataset meets the stage I composition criterion.","meets survival criterion: No | meets stage or act criterion: Yes | justification: Although the cohort composition meets the stage I requirement (>50% Stage I), the dataset lacks patient-level survival status/time variables required by the survival criterion, so it does not satisfy all inclusion criteria.",No,False
samples_table_GSE38054.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample table columns: GPL14550_Group,GPL14550_Accession,GPL14550_Title,GPL14550_Source name,GPL14550_Cell type,GPL14550_Cell line,GPL14550_Treatment; sample rows show NSCLC H358 cell line with treatments (vehicle/DAPT). No survival status or survival time fields present. | justification: Dataset is a cell-line / preclinical experiment (H358 cell line) with treatment conditions; no patient-level survival variables (OS, PFS, RFS) are provided.","No | stage i evidence: No clinical stage fields present in sample metadata; samples are labeled as a human lung cancer cell line (NSCLC H358), not clinical tumor stages. | act evidence: Treatment field lists 'vehicle' or 'DAPT' (γ-secretase inhibitor). There is no annotation indicating adjuvant chemotherapy (ACT) or clinical treatment exposure. | justification: Metadata describe experimental treatments on a cell line rather than clinical patient data; no stage I composition information and no ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails primary requirement of patient-specific survival time/status variables and fails secondary requirement (>=50% stage I or explicit ACT annotation). This is a preclinical cell-line dataset without clinical staging or ACT information.,No,False
samples_table_GSE240758.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided sample table columns: GPL33669_Group, GPL33669_Accession, GPL33669_Title, GPL33669_Source name, GPL33669_Disease, GPL33669_Age, GPL33669_Race, GPL33669_Sex, GPL33669_Stage. No columns for overall survival (OS) or progression-free/recurrent-free survival status or time. | justification: The dataset file lists demographic and disease/stage fields but contains no patient-specific survival time or survival status variables (e.g., OS_time, OS_status, PFS_time, PFS_status, RFS_time, RFS_status).","No | stage i evidence: Cancer samples: Adenocarcinoma (4 samples: stages IV, III, I, II), Squamous (4 samples: IIA, IB, IV, IIIA), SCLC (8 samples: various stages including I and multiple IV/III). Across all 24 samples (including 8 healthy donors), only 3 samples are explicitly Stage I (Adeno sample 3 = I; Squamous sample 2 = IB; SCLC sample 4 = I), which is ~12.5% of total and 3/16 (~18.75%) of cancer samples — both <50%. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation present in the provided metadata. | justification: The dataset does not have a majority (>50%) Stage I composition and contains no ACT annotations.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival time/status variables required by inclusion criterion 1, and it fails criterion 2 because fewer than 50% of samples are Stage I and there is no adjuvant chemotherapy annotation. Therefore it does not meet the inclusion criteria.",No,False
samples_table_GSE8332.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample annotations list cell line names and culture conditions (e.g., A549, H1299, H1975, etc.). Summary and table indicate 'cell line' samples and 'cell type comparison'. No patient-level survival status or survival time variables are present. | justification: This is an in vitro cell‑line expression dataset; there are no patient records or fields for OS/RFS/PFS status or times.","No | stage i evidence: No clinical stage annotations are present in the sample metadata; all samples are cell lines rather than patient tumor stages. | act evidence: No indication of adjuvant chemotherapy annotation in the sample metadata or study description. | justification: Dataset comprises cell lines (laboratory models), so >50% stage I composition or explicit ACT annotations cannot apply.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both inclusion criteria: no patient-specific survival variables and no clinical-stage or adjuvant chemotherapy information because the study is a cell-line comparison.,No,False
samples_table_GSE92679.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists only cell line samples (A549, HTB-182) and treatment conditions (vehicle, E2, TAM, E2BSA). No patient-level fields such as OS_status, OS_time, PFS_status, or PFS_time are present in the provided table. | justification: The provided sample table contains only cell-line experiment records and treatment annotations; there are no patient-specific survival status or time variables.","No | stage i evidence: No stage annotations present. Sample metadata shows cell lines (Non-Small Cell Lung Carcinoma (adenocarcinoma) and (squamous cell)) only—no clinical stage information. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation in sample metadata; treatments are in vitro hormonal/tamoxifen exposures, not clinical ACT records. | justification: The dataset is composed of cell-line experiments with treatment conditions, not clinical patient records; therefore it lacks both stage distribution and ACT annotations.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required inclusion criteria: no patient-level survival time/status variables and no information indicating ≥50% stage I patients or explicit adjuvant chemotherapy annotation. The samples are in vitro cell-line treatments, not patient clinical data.",No,False
samples_table_GSE75960.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists GSM entries for DV90 cell line treatments (e.g., 'DV90_JQ1_135nM_4h_rep1') with fields: Source name, Tissue, Cell line, Histologic subtype. No patient-level variables such as OS/PFS status or time are present. | justification: This is an in vitro cell-line experiment; no patient-specific survival time or status variables are included in the provided metadata.","No | stage i evidence: Metadata shows 'Cell line: DV90' and 'Histologic subtype: NSCLC adenocarcinoma' for samples — these are cell-line annotations, not patient-stage (no Stage I/II/III/IV information). | act evidence: No explicit adjuvant chemotherapy (ACT) annotation present in the sample metadata. | justification: The dataset comprises cell-line treatment replicates, not a patient cohort; therefore it cannot meet the >50% Stage I or ACT-annotated patient criteria.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: no patient-level survival status/time variables and no patient-stage or adjuvant chemotherapy annotations (cell-line study).,No,False
samples_table_GSE115864.csv,,gpt-5-mini-2025-08-07,"No | evidence: Tabular fields shown: GPL17586_Group, GPL17586_Accession, GPL17586_Title, GPL17586_Source name, GPL17586_Cell line, GPL17586_Tissue and sample labels like 's13: NTC-DMSO', 's25: Notch3-sIRNA-Erlotinib'. No patient identifiers or survival/time/status variables (OS, RFS, PFS) are present. | justification: Dataset appears to be cell-line/xenograft experimental samples with treatment labels; there are no patient-specific clinical fields for survival status or survival time.","No | stage i evidence: No fields or annotations indicating patient clinical stage (e.g., Stage I) are present in the provided metadata; entries are sample/treatment labels for cell lines. | act evidence: No explicit annotation of adjuvant chemotherapy for patients is present. The treatment labels (e.g., Erlotinib, DMSO, siRNA) describe experimental interventions in models, not clinical adjuvant therapy annotations. | justification: The dataset represents experimental samples (cell lines/xenografts) with treatment conditions rather than a patient cohort; therefore there is no information to determine >50% Stage I composition or patient-level ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails survival criterion: no patient-level survival time/status variables. Fails stage/ACT criterion: no clinical stage or adjuvant chemotherapy annotations; samples are experimental (cell line/xenograft) treatment conditions, not clinical patient data.",No,False
samples_table_GSE27388.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample table columns: ""GPL5188_Group,GPL5188_Accession,GPL5188_Title,GPL5188_Source name,GPL5188_Disease state,GPL5188_Characteristics,GPL5188_P63 staining status""; rows list tumor type, age of FFPE block, staining status. No variables for overall survival, progression-free survival, recurrence-free survival, survival time, or status are present. | justification: The provided metadata contains only tumor histology, sample source (cervix), age of FFPE block, and staining status. There are no patient-level survival time or survival status variables.","No | stage i evidence: All samples are from cervix (GPL5188_Source name = cervix) and annotated as squamous cell carcinoma or adenocarcinoma; no staging information (e.g., Stage I) is provided. | act evidence: No mention of adjuvant chemotherapy or any treatment annotation in the metadata or sample characteristics. | justification: Dataset is cervical cancer (not NSCLC) and contains neither stage information indicating >50% Stage I patients nor any explicit adjuvant chemotherapy annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time/status variables and does not meet the stage I or ACT criteria (additionally it is cervical cancer, not NSCLC). Therefore it does not satisfy the inclusion criteria.",No,False
