custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,Q6,in_actual
PXD010372,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description specify the study is on ovarian cancer, specifically high-grade serous ovarian cancer (HGSOC).","Yes | evidence: The study identifies CT45 as a chemosensitivity mediator and immunotherapy target, implying biomarker discovery related to diagnostic or prognostic factors for ovarian cancer. | justification: The dataset involves discovery of a prognostic biomarker related to treatment response in ovarian cancer patients.","Not applicable | evidence: The description does not mention healthy patient controls or provide explicit sample composition including healthy controls. | justification: Healthy controls are not explicitly included or quantified, but biomarker discovery is present, fulfilling criterion 2.","Yes | justification: The dataset quantitatively analyzed proteomes, including phosphoproteomics and immunopeptidomics, indicating multi-level proteomics data.","No | evidence: The samples analyzed were formalin-fixed, paraffin-embedded tumor tissues from patients. | justification: This is clinical tumor tissue analysis, not non-clinical samples such as cell lines or animal models.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer, includes diagnostic/prognostic biomarker discovery relevant to ovarian cancer, and features proteomics analyses on clinical patient tissue samples. Healthy controls are not explicitly stated but biomarker discovery suffices for inclusion.",Yes,False
PXD036969,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset is about Long Covid Syndrome, not ovarian cancer.","No | evidence: The dataset involves healthy individuals vaccinated against SARS-CoV-2, recovered patients, and Long Covid patients, not related to ovarian cancer biomarker discovery or healthy controls for ovarian cancer. | justification: Healthy controls present are related to SARS-CoV-2 vaccination status, not ovarian cancer.","Not applicable | evidence: Sample composition pertains to Long Covid and healthy SARS-CoV-2 vaccinated groups, not ovarian cancer. | justification: Not related to ovarian cancer samples.","Yes | justification: The description mentions label-free proteome profiling, indicating proteomics analysis was performed.","No | evidence: Samples are blood plasma from human patients and healthy individuals, not non-clinical models. | justification: This is a clinical dataset from human plasma samples.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although proteomics is involved and clinical human plasma samples are used, the dataset is not about ovarian cancer nor related to ovarian cancer healthy controls or biomarker discovery.",No,False
PXD051500,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset specifically involves exosomes derived from ovarian cancer tissue from patients with epithelial ovarian cancer (EOC).,Yes | evidence: The study describes identifying pivotal immune-related proteins combined with clinical parameters to construct a diagnostic model. | justification: This indicates involvement in diagnostic biomarker discovery for ovarian cancer.,"Not applicable | evidence: No mention of healthy patient control samples in the provided description. | justification: Sample composition is limited to platinum-sensitive and platinum-resistant ovarian cancer patients, with no explicit healthy controls reported.","Yes | justification: The dataset used 4D data-independent acquisition (DIA) proteomic sequencing on exosomes, indicating proteomic methodology.","Yes | evidence: Samples are exosomes derived from ovarian cancer tissue. | justification: Exosomes represent extracellular vesicles and not direct clinical tissue samples; thus, they might be considered non-clinical or not tissue samples, potentially excluding this dataset.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer and utilizes proteomics. It does not include healthy patient controls nor explicitly engage in biomarker discovery with healthy controls, and samples are exosome-derived, which are non-clinical sample types under the exclusion criteria.",No,False
PXD019223,,gpt-4.1-mini-2025-04-14,"Unclear | justification: The dataset is associated with research on LKB1 kinase related to epithelial ovarian cancer spheroid viability and metastasis, but it does not explicitly state the dataset is about ovarian cancer clinical samples.","No | evidence: The description mentions identifying substrates for LKB1 related to ovarian cancer spheroid viability, but does not mention healthy patient controls or diagnostic biomarker discovery. | justification: There is no indication of healthy controls or biomarker discovery in the dataset description.","Not applicable | evidence: Not applicable as no healthy controls are indicated. | justification: No healthy controls mentioned, so sample composition is not provided.",Yes | justification: The dataset is proteomics data associated with TripleTOF5600 mass spectrometry and substrate identification.,"Yes | evidence: The study focuses on epithelial ovarian cancer spheroids, which are likely ex vivo or cell culture models rather than clinical patient samples. | justification: The mention of 'spheroids' suggests non-clinical, ex vivo cell line or model systems.","meets ovarian cancer criterion: Unclear | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset involves proteomics related to ovarian cancer molecular biology; however, it does not explicitly focus on clinical ovarian cancer patient samples, does not include healthy controls or biomarker discovery, and appears based on non-clinical spheroid models.",No,False
PXD040430,,gpt-4.1-mini-2025-04-14,"Yes | justification: The description mentions a case of PARPi resistant high grade serous ovarian cancer, indicating the dataset involves ovarian cancer samples.",Unclear | evidence: The description discusses mechanisms of PARPi resistance and mentions biomarker HUWE1 but does not explicitly state inclusion of healthy controls or a direct diagnostic biomarker discovery study. | justification: No explicit information about presence of healthy controls or diagnostic biomarker discovery for ovarian cancer is provided.,"Not applicable | evidence: No explicit sample compositions detailing healthy control proportion are given. | justification: Without indication of healthy control samples, this question is not applicable.",Unclear | justification: The description discusses protein level changes and mutation effects but does not specify proteomic methodologies or proteomics data.,"Yes | evidence: The description states use of isogenic cells with different BRCA1 mutations, indicating cell line-based models. | justification: Use of cell lines suggests non-clinical samples, which are excluded.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: The dataset involves ovarian cancer but includes non-clinical cell line samples and does not confirm healthy controls or proteomic data presence; therefore does not meet key inclusion criteria.,No,False
PXD005420,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset specifically studies serous ovarian cancer tumor microenvironment and includes biopsies from serous ovarian cancers.,"Yes | evidence: The dataset includes biopsies from healthy regions of serous ovarian cancers, indicating healthy tissue samples are controls. | justification: Healthy tissue biopsies alongside tumor samples are used for comparison in the study.","Unclear | evidence: The dataset describes inclusion of tumor, borderline, and healthy regions but does not specify the proportion of healthy samples. | justification: Explicit sample composition percentages are not provided; thus, the exact proportion of healthy controls cannot be determined.",Yes | justification: Top-down tissue microproteomics were performed isolating 289 proteins with post-translational modifications from biopsies.,"No | evidence: Samples are biopsies of tumor, borderline and healthy regions from human ovarian cancers. | justification: The dataset uses clinical human tissue biopsies, not xenografts or cell lines.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset studies ovarian cancer with proteomic analysis and includes healthy tissue controls but does not specify if healthy controls make up at least 20% of samples.,Yes,False
PXD001849,,gpt-4.1-mini-2025-04-14,"Unclear | justification: The dataset is described as relating to gynecological cancer tissues broadly, without specifying ovarian cancer explicitly.","Yes | evidence: The study aims to identify biomarker candidate proteins for gynecological cancer using proteomic analysis. | justification: Though the cancer type is broad, the dataset involves diagnostic biomarker discovery relevant to gynecological cancers.",Unclear | evidence: The description does not provide explicit sample composition or percentage of healthy controls. | justification: No explicit information on healthy patient controls or their proportion is given.,Yes | justification: The dataset uses iTRAQ technology and shotgun proteomics methods for analysis of cancer tissues.,"No | evidence: Tumor cells were captured by laser microdissection from cancer tissues, indicating clinical samples rather than cell lines or models. | justification: The dataset involves clinical tissue samples, not non-clinical models.","meets ovarian cancer criterion: Unclear | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: While biomarker discovery and proteomics criteria are met and samples are clinical, the dataset is for gynecological cancers without explicit confirmation of ovarian cancer, and explicit healthy control proportions are not stated.",No,False
PXD005554,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset involves samples from patients with non-metastatic ovarian cancer and high-grade serous ovarian cancer-derived omental metastasis, indicating focus on ovarian cancer.","Yes | evidence: The dataset includes disease-free omentum samples from a patient with non-metastatic ovarian cancer, which can be considered a healthy control tissue adjacent to disease samples. | justification: The presence of disease-free omentum samples acts as healthy controls for comparison with ovarian cancer metastasis samples.","Unclear | evidence: The dataset does not explicitly specify the proportion of healthy control samples within the total sample set. | justification: The exact percentage of healthy control samples is not stated, making it unclear whether they constitute at least 20% of samples.","Yes | justification: The dataset uses LC-MS/MS, a proteomics method, on ECM-enriched peptides, indicating proteomic analysis.","No | evidence: Samples are from human patients (primary tissues and metastatic tissue), no mention of cell lines or animal models. | justification: Sample sources are clinical human specimens, so non-clinical exclusion criterion does not apply.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset pertains to ovarian cancer with matched disease-free control tissue, employs proteomic LC-MS/MS methods, and samples are clinical human tissues. However, the proportion of healthy controls is not explicitly provided, suggesting need for additional human review for confirmation.",Yes,False
PXD033569,,gpt-4.1-mini-2025-04-14,Yes | justification: The title and description specify research on ovarian cancer cells and pathological processes of ovarian cancer.,"No | evidence: Only ovarian cancer cell line samples (A2780) with lentivirus interference and control groups are described; no mention of healthy patient controls or biomarker discovery. | justification: Samples are from treated and control ovarian cancer cell lines, not from patients, and no diagnostic biomarker discovery is mentioned.","Not applicable | evidence: No explicit sample composition of patient controls is provided. | justification: The dataset involves cell lines only, not clinical samples with controls.",Yes | justification: Proteomic analysis conducted by TMT labeling and mass spectrometry is described.,Yes | evidence: Samples are ovarian cancer A2780 cell lines treated with lentivirus. | justification: Use of a cell line model classifies this as a non-clinical dataset.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the study is about ovarian cancer and uses proteomics, it only involves ovarian cancer cell lines, lacks healthy patient controls or biomarker discovery, and is non-clinical, thus failing key criteria.",No,False
PXD055375,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset title and description explicitly mention ovarian cancer.,"No | evidence: The description only mentions ovarian cancer cell types and leukemia cell types; there is no mention of healthy patient controls or diagnostic biomarker discovery. | justification: Since no mention of healthy controls or biomarker discovery is made, this criterion is not met.",Not applicable | evidence: No healthy patient controls mentioned. | justification: Not applicable because healthy controls are not included.,"Yes | justification: The dataset uses proteome integral solubility alteration (PISA), a proteomics technique.","Yes | evidence: The dataset involves ovarian cancer and leukemia cell lines, which are non-clinical (cell line) models. | justification: Use of cell lines classifies this as non-clinical and excludes the dataset.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is about ovarian cancer and employs proteomics, it lacks healthy controls or biomarker discovery and involves non-clinical cell line samples, which leads to exclusion.",No,False
