Model,Version,Target_Disease,Trials,Sensitivity,Specificity,Precision,Accuracy,F1 Score,TP,FP,TN,FN
Ensemble,v1,AD,10,1,0.889,0.667,0.909,0.800,2,1,8,0
Ensemble,v1,ALS-FTD,10,1,1,1,1,1,6,0,25,0
Ensemble,v1,LBD,10,1,1,1,1,1,2,0,12,0
Ensemble,v1,all-diseases,10,1,0.978,0.909,0.982,0.952,10,1,45,0
GPT-4.1-mini,v1,AD,1,1,1,1,1,1,2,0,9,0
GPT-4.1-mini,v1,ALS-FTD,1,0.833,1,1,0.968,0.909,5,0,25,1
GPT-4.1-mini,v1,LBD,1,1,1,1,1,1,2,0,12,0
GPT-4.1-mini,v1,all-diseases,1,0.900,1,1,0.982,0.947,9,0,46,1
GPT-4o-mini,v1,AD,1,1,0.889,0.667,0.909,0.800,2,1,8,0
GPT-4o-mini,v1,ALS-FTD,1,0.833,1,1,0.968,0.909,5,0,25,1
GPT-4o-mini,v1,LBD,1,1,1,1,1,1,2,0,12,0
GPT-4o-mini,v1,all-diseases,1,0.900,0.978,0.900,0.964,0.900,9,1,45,1
GPT-5-mini,v1,AD,10,"0.500
(0.500-0.500)","1
(1-1)","1
(1-1)","0.909
(0.909-0.909)","0.667
(0.667-0.667)","1
(1-1)","0
(0-0)","9
(9-9)","1
(1-1)"
GPT-5-mini,v1,ALS-FTD,10,"1
(0.667-1)","1
(1-1)","1
(1-1)","1
(0.935-1)","1
(0.800-1)","6
(4-6)","0
(0-0)","25
(25-25)","0
(0-2)"
GPT-5-mini,v1,LBD,10,"1
(1-1)","1
(1-1)","1
(1-1)","1
(1-1)","1
(1-1)","2
(2-2)","0
(0-0)","12
(12-12)","0
(0-0)"
GPT-5-mini,v1,all-diseases,10,"0.900
(0.700-0.900)","1
(1-1)","1
(1-1)","0.982
(0.946-0.982)","0.947
(0.824-0.947)","9
(7-9)","0
(0-0)","46
(46-46)","1
(1-3)"
o4-mini,v1,AD,10,"1
(0.500-1)","0.889
(0.889-1)","0.667
(0.500-1)","0.909
(0.818-1)","0.800
(0.500-1)","2
(1-2)","1
(0-1)","8
(8-9)","0
(0-1)"
o4-mini,v1,ALS-FTD,10,"0.500
(0.333-0.833)","1
(1-1)","1
(1-1)","0.903
(0.871-0.968)","0.667
(0.500-0.909)","3
(2-5)","0
(0-0)","25
(25-25)","3
(1-4)"
o4-mini,v1,LBD,10,"1
(1-1)","1
(1-1)","1
(1-1)","1
(1-1)","1
(1-1)","2
(2-2)","0
(0-0)","12
(12-12)","0
(0-0)"
o4-mini,v1,all-diseases,10,"0.700
(0.600-0.900)","0.978
(0.978-1)","0.887
(0.857-1)","0.938
(0.911-0.964)","0.801
(0.706-0.900)","7
(6-9)","1
(0-1)","45
(45-46)","3
(1-4)"
